sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1229667","2020 PPR  1229667","","15/03/2020","**","","-121.00","0.00","NZD","0.00","2020","202008","PPR","1229667 ITR","","12/02/2020","12/02/2020","ACE.006709600.0000010","2020.PPR.1229667","","0.00","","CG Invoices to be received account"
"","2020 PPR  1254596","2020 PPR  1254596","","15/04/2020","**","","-121.00","0.00","NZD","0.00","2020","202009","PPR","1254596 ITR","","11/03/2020","11/03/2020","ACE.006709600.0000012","2020.PPR.1254596","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264218","2020 PPR  1264218","","15/04/2020","**","","-196.69","0.00","ISK","-15,225.00","2020","202009","PPR","1264218 ITR","","27/03/2020","27/03/2020","ACE.006618925.0000024","2020.PPR.1264218","","0.00","","CG Invoices to be received account"
"","2023 PPR  1565861","2023 PPR  1565861","","15/09/2022","**","","-127.00","0.00","NZD","0.00","2023","202302","PPR","1565861 ITR","","02/08/2022","02/08/2022","ACE.006904740.0000012","2023.PPR.1565861","","0.00","","CG Invoices to be received account"
"","2023 PPR  1591929","2023 PPR  1591929","","15/11/2022","**","","-297.18","0.00","NZD","0.00","2023","202304","PPR","1591929 ITR","","03/10/2022","03/10/2022","ACE.006919314.0000062","2023.PPR.1591929","","0.00","","CG Invoices to be received account"
"","2023 PPR  1591938","2023 PPR  1591938","","15/11/2022","**","","-3,628.45","0.00","NZD","0.00","2023","202304","PPR","1591938 ITR","","03/10/2022","03/10/2022","ACE.006919314.0000068","2023.PPR.1591938","","0.00","","CG Invoices to be received account"
"","2023 PPR  1593515","2023 PPR  1593515","","15/11/2022","**","","-300.90","0.00","GBP","-152.13","2023","202304","PPR","1593515 ITR","","06/10/2022","06/10/2022","ACE.006919314.0000070","2023.PPR.1593515","","0.00","","CG Invoices to be received account"
"","2023 PPR  1593517","2023 PPR  1593517","","15/11/2022","**","","-3,218.51","0.00","USD","-2,082.80","2023","202304","PPR","1593517 ITR","","06/10/2022","06/10/2022","ACE.006919314.0000072","2023.PPR.1593517","","0.00","","CG Invoices to be received account"
"","2023 PPR  1595740","2023 PPR  1595740","","15/11/2022","**","","-352.73","0.00","NZD","0.00","2023","202304","PPR","1595740 ITR","","12/10/2022","12/10/2022","ACE.006920443.0000124","2023.PPR.1595740","","0.00","","CG Invoices to be received account"
"","2023 PPR  1596795","2023 PPR  1596795","","15/11/2022","**","","-358.97","0.00","GBP","-181.49","2023","202304","PPR","1596795 ITR","","14/10/2022","14/10/2022","ACE.006920443.0000129","2023.PPR.1596795","","0.00","","CG Invoices to be received account"
