sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1060237","2020 PPR  1060237","","16/07/2019","**","","1,834.00","0.00","NZD","0.00","2020","202001","PPR","1060237 ITR","","16/07/2019","16/07/2019","ACE.006447693.0000025","2020.PPR.1060237","","0.00","","CG Invoices to be received account"
"","2020 PPR  1102384","2020 PPR  1102384","","30/08/2019","**","","180.00","0.00","NZD","0.00","2020","202002","PPR","1102384 ITR","","30/08/2019","30/08/2019","ACE.006624115.0000027","2020.PPR.1102384","","0.00","","CG Invoices to be received account"
"","2020 PPR  1136826","2020 PPR  1136826","","07/10/2019","**","","4,326.00","0.00","NZD","0.00","2020","202004","PPR","1136826 ITR","","07/10/2019","07/10/2019","ACE.006644589.0000007","2020.PPR.1136826","","0.00","","CG Invoices to be received account"
"","2020 PPR  1137626","2020 PPR  1137626","","08/10/2019","**","","4,326.00","0.00","NZD","0.00","2020","202004","PPR","1137626 ITR","","08/10/2019","08/10/2019","ACE.006644589.0000010","2020.PPR.1137626","","0.00","","CG Invoices to be received account"
"","2020 PPR  1173500","2020 PPR  1173500","","15/11/2019","**","","-244.00","0.00","NZD","0.00","2020","202005","PPR","1173500 ITR","","15/11/2019","15/11/2019","ACE.006662902.0000038","2020.PPR.1173500","","0.00","","CG Invoices to be received account"
"","2020 PPR  1184181","2020 PPR  1184181","","27/11/2019","**","","150.00","0.00","NZD","0.00","2020","202005","PPR","1184181 ITR","","27/11/2019","27/11/2019","ACE.006661767.0000035","2020.PPR.1184181","","0.00","","CG Invoices to be received account"
"","2020 PPR  1211372","2020 PPR  1211372","","20/01/2020","**","","-351.00","0.00","NZD","0.00","2020","202007","PPR","1211372 ITR","","20/01/2020","20/01/2020","ACE.006668143.0000022","2020.PPR.1211372","","0.00","","CG Invoices to be received account"
"","2020 PPR  1215397","2020 PPR  1215397","","24/01/2020","**","","-96.00","0.00","NZD","0.00","2020","202007","PPR","1215397 ITR","","24/01/2020","24/01/2020","ACE.006697786.0000010","2020.PPR.1215397","","0.00","","CG Invoices to be received account"
"","2020 PPR  1228605","2020 PPR  1228605","","11/02/2020","**","","-422.00","0.00","NZD","0.00","2020","202008","PPR","1228605 ITR","","11/02/2020","11/02/2020","ACE.006689924.0000043","2020.PPR.1228605","","0.00","","CG Invoices to be received account"
"","2020 PPR  1256020","2020 PPR  1256020","","12/03/2020","**","","862.98","0.00","NZD","0.00","2020","202009","PPR","1256020 ITR","","12/03/2020","12/03/2020","ACE.006673797.0000046","2020.PPR.1256020","","0.00","","CG Invoices to be received account"
"","2020 PPR  1256021","2020 PPR  1256021","","12/03/2020","**","","252.00","0.00","NZD","0.00","2020","202009","PPR","1256021 ITR","","12/03/2020","12/03/2020","ACE.006673797.0000047","2020.PPR.1256021","","0.00","","CG Invoices to be received account"
"","2020 PPR  1256022","2020 PPR  1256022","","12/03/2020","**","","775.00","0.00","NZD","0.00","2020","202009","PPR","1256022 ITR","","12/03/2020","12/03/2020","ACE.006673797.0000048","2020.PPR.1256022","","0.00","","CG Invoices to be received account"
"","2020 PPR  1256023","2020 PPR  1256023","","12/03/2020","**","","834.00","0.00","NZD","0.00","2020","202009","PPR","1256023 ITR","","12/03/2020","12/03/2020","ACE.006673797.0000049","2020.PPR.1256023","","0.00","","CG Invoices to be received account"
"","2020 PPR  1256024","2020 PPR  1256024","","12/03/2020","**","","611.00","0.00","NZD","0.00","2020","202009","PPR","1256024 ITR","","12/03/2020","12/03/2020","ACE.006673797.0000050","2020.PPR.1256024","","0.00","","CG Invoices to be received account"
"","2020 PUR   288884","2020 PUR   288884","","29/01/2020","**","","-205.92","0.00","NZD","0.00","2020","202007","PUR","288884 VCR","","29/01/2020","29/01/2020","ACE.006689924.0000039","2020.PUR.0288880","","0.00","","CG Invoices to be received account"
"","2021 PPR  1311649","2021 PPR  1311649","","02/10/2020","**","","2,580.50","0.00","NZD","0.00","2021","202104","PPR","1311649 ITR","","02/10/2020","02/10/2020","ACE.006670934.0000038","2021.PPR.1311649","","0.00","","CG Invoices to be received account"
"","2021 PPR  1311650","2021 PPR  1311650","","02/10/2020","**","","800.00","0.00","NZD","0.00","2021","202104","PPR","1311650 ITR","","02/10/2020","02/10/2020","ACE.006656103.0000017","2021.PPR.1311650","","0.00","","CG Invoices to be received account"
"","2021 PPR  1352632","2021 PPR  1352632","","08/01/2021","**","","3,247.10","0.00","NZD","0.00","2021","202107","PPR","1352632 ITR","","08/01/2021","08/01/2021","ACE.006775568.0000005","2021.PPR.1352632","","0.00","","CG Invoices to be received account"
"","2021 PPR  1431847","2021 PPR  1431847","","22/06/2021","**","","-864.00","0.00","NZD","0.00","2021","202112","PPR","1431847 ITR","","22/06/2021","22/06/2021","ACE.006824299.0000035","2021.PPR.1431847","","0.00","","CG Invoices to be received account"
"","2021 PPR  1436356","2021 PPR  1436356","","30/06/2021","**","","-62.00","0.00","NZD","0.00","2021","202112","PPR","1436356 ITR","","30/06/2021","30/06/2021","ACE.006834443.0000008","2021.PPR.1436356","","0.00","","CG Invoices to be received account"
"","2022 PPR  1512504","2022 PPR  1512504","","08/04/2022","**","","3,919.36","0.00","NZD","0.00","2022","202210","PPR","1512504 ITR","","08/04/2022","08/04/2022","ACE.006875170.0000036","2022.PPR.1512504","","0.00","","CG Invoices to be received account"
"","2022 PPR  1512505","2022 PPR  1512505","","08/04/2022","**","","3,919.36","0.00","NZD","0.00","2022","202210","PPR","1512505 ITR","","08/04/2022","08/04/2022","ACE.006875170.0000037","2022.PPR.1512505","","0.00","","CG Invoices to be received account"
"","2022 PPR  1512506","2022 PPR  1512506","","08/04/2022","**","","-3,919.36","0.00","NZD","0.00","2022","202210","PPR","1512506 ITR","","08/04/2022","08/04/2022","ACE.006875170.0000040","2022.PPR.1512506","","0.00","","CG Invoices to be received account"
"","2022 PPR  1512508","2022 PPR  1512508","","08/04/2022","**","","-3,919.36","0.00","NZD","0.00","2022","202210","PPR","1512508 ITR","","08/04/2022","08/04/2022","ACE.006876210.0000005","2022.PPR.1512508","","0.00","","CG Invoices to be received account"
"","2022 PUR   348979","2022 PUR   348979","","09/06/2021","**","","2,016.00","0.00","NZD","0.00","2022","202204","PUR","348979 VPA","","09/06/2021","13/10/2021","ACE.006825783.0000019","2022.PUR.0348979","","0.00","","CG Invoices to be received account"
