sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2018 PPR   684457","2018 PPR   684457","","27/04/2018","**","","-10.80","0.00","NZD","0.00","2018","201810","PPR","684457 ITR","","27/04/2018","27/04/2018","ACE.006393723.0000009","2018.PPR.0684457","","0.00","","CG Invoices to be received account"
"","2018 PPR   717261","2018 PPR   717261","","29/05/2018","**","","-21.60","0.00","NZD","0.00","2018","201811","PPR","717261 ITR","","29/05/2018","29/05/2018","ACE.006411978.0000013","2018.PPR.0717261","","0.00","","CG Invoices to be received account"
"","2019 PPR   801811","2019 PPR   801811","","27/08/2018","**","","-31.68","0.00","NZD","0.00","2019","201902","PPR","801811 ITR","","27/08/2018","27/08/2018","ACE.006458227.0000014","2019.PPR.0801811","","0.00","","CG Invoices to be received account"
"","2019 PPR   829175","2019 PPR   829175","","25/09/2018","**","","-26.10","0.00","NZD","0.00","2019","201903","PPR","829175 ITR","","25/09/2018","25/09/2018","ACE.006475465.0000009","2019.PPR.0829175","","0.00","","CG Invoices to be received account"
"","2019 PPR   939348","2019 PPR   939348","","27/02/2019","**","","-34.65","0.00","NZD","0.00","2019","201908","PPR","939348 ITR","","27/02/2019","27/02/2019","ACE.006541699.0000010","2019.PPR.0939348","","0.00","","CG Invoices to be received account"
"","2019 PUR   185840","2019 PUR   185840","","10/10/2018","**","","-39.15","0.00","NZD","0.00","2019","201904","PUR","185840 VCR","","10/10/2018","10/10/2018","ACE.006421307.0000018","2019.PUR.0185840","","0.00","","CG Invoices to be received account"
"","2021 PPR  1371798","2021 PPR  1371798","","24/02/2021","**","","-53.10","0.00","NZD","0.00","2021","202108","PPR","1371798 ITR","","24/02/2021","24/02/2021","ACE.006791021.0000010","2021.PPR.1371798","","0.00","","CG Invoices to be received account"
"","2022 PPR  1516878","2022 PPR  1516878","","22/04/2022","**","","-41.40","0.00","NZD","0.00","2022","202210","PPR","1516878 ITR","","22/04/2022","22/04/2022","ACE.006876868.0000012","2022.PPR.1516878","","0.00","","CG Invoices to be received account"
"","2022 PPR  1526130","2022 PPR  1526130","","13/05/2022","**","","-28.80","0.00","NZD","0.00","2022","202211","PPR","1526130 ITR","","13/05/2022","13/05/2022","ACE.006885616.0000006","2022.PPR.1526130","","0.00","","CG Invoices to be received account"
"","2022 PPR  1526132","2022 PPR  1526132","","13/05/2022","**","","-28.80","0.00","NZD","0.00","2022","202211","PPR","1526132 ITR","","13/05/2022","13/05/2022","ACE.006885618.0000006","2022.PPR.1526132","","0.00","","CG Invoices to be received account"
"","2022 PPR  1546008","2022 PPR  1546008","","22/06/2022","**","","-59.40","0.00","NZD","0.00","2022","202212","PPR","1546008 ITR","","22/06/2022","22/06/2022","ACE.006897469.0000010","2022.PPR.1546008","","0.00","","CG Invoices to be received account"
