sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2019 PUR   228657","2019 PUR   228657","","15/06/2019","**","","-952.20","0.00","NZD","0.00","2019","201911","PUR","228657 VPA","","07/05/2019","07/05/2019","ACE.006572933.0000008","2019.PUR.0228657","","0.00","","CG Invoices to be received account"
"","2019 PUR   232884","2019 PUR   232884","","15/06/2019","**","","952.20","0.00","NZD","0.00","2019","201911","PUR","232884 VPA","","21/05/2019","23/05/2019","ACE.006572933.0000010","2019.PUR.0232884","","0.00","","CG Invoices to be received account"
"","2020 PUR   290978","2020 PUR   290978","","15/03/2020","**","","-1,302.95","0.00","NZD","0.00","2020","202008","PUR","290978 VPA","","11/02/2020","11/02/2020","ACE.006689665.0000016","2020.PUR.0290978","","0.00","","CG Invoices to be received account"
"","2020 PUR   297287","2020 PUR   297287","","15/03/2020","**","","1,302.95","0.00","NZD","0.00","2020","202009","PUR","297287 VPA","","27/02/2020","11/03/2020","ACE.006689665.0000018","2020.PUR.0297287","","0.00","","CG Invoices to be received account"
"","2020 PUR   297292","2020 PUR   297292","","15/04/2020","**","","-363.40","0.00","NZD","0.00","2020","202009","PUR","297292 VPA","","11/03/2020","11/03/2020","ACE.006714799.0000018","2020.PUR.0297292","","0.00","","CG Invoices to be received account"
"","2020 PUR   297296","2020 PUR   297296","","15/03/2020","**","","363.40","0.00","NZD","0.00","2020","202009","PUR","297296 VPA","","29/02/2020","11/03/2020","ACE.006714799.0000020","2020.PUR.0297296","","0.00","","CG Invoices to be received account"
"","2021 PPR  1289418","2021 PPR  1289418","","15/09/2020","**","","-1,427.73","0.00","NZD","0.00","2021","202102","PPR","1289418 ITR","","04/08/2020","04/08/2020","ACE.006743117.0000006","2021.PPR.1289418","","0.00","","CG Invoices to be received account"
"","2021 PPR  1356101","2021 PPR  1356101","","15/02/2021","**","","-350.00","0.00","NZD","0.00","2021","202107","PPR","1356101 ITR","","20/01/2021","20/01/2021","ACE.006781513.0000002","2021.PPR.1356101","","0.00","","CG Invoices to be received account"
"","2021 PPR  1356108","2021 PPR  1356108","","15/02/2021","**","","-390.00","0.00","NZD","0.00","2021","202107","PPR","1356108 ITR","","20/01/2021","20/01/2021","ACE.006781522.0000002","2021.PPR.1356108","","0.00","","CG Invoices to be received account"
"","2021 PPR  1356110","2021 PPR  1356110","","15/02/2021","**","","-390.00","0.00","NZD","0.00","2021","202107","PPR","1356110 ITR","","20/01/2021","20/01/2021","ACE.006781528.0000002","2021.PPR.1356110","","0.00","","CG Invoices to be received account"
"","2021 PPR  1356118","2021 PPR  1356118","","15/02/2021","**","","-390.00","0.00","NZD","0.00","2021","202107","PPR","1356118 ITR","","20/01/2021","20/01/2021","ACE.006781542.0000002","2021.PPR.1356118","","0.00","","CG Invoices to be received account"
"","2021 PPR  1356122","2021 PPR  1356122","","15/02/2021","**","","-350.00","0.00","NZD","0.00","2021","202107","PPR","1356122 ITR","","20/01/2021","20/01/2021","ACE.006781552.0000002","2021.PPR.1356122","","0.00","","CG Invoices to be received account"
"","2021 PPR  1384139","2021 PPR  1384139","","15/04/2021","**","","-258.75","0.00","NZD","0.00","2021","202109","PPR","1384139 ITR","","22/03/2021","22/03/2021","ACE.006799550.0000002","2021.PPR.1384139","","0.00","","CG Invoices to be received account"
"","2021 PPR  1389155","2021 PPR  1389155","","15/04/2021","**","","-21.00","0.00","NZD","0.00","2021","202109","PPR","1389155 ITR","","31/03/2021","31/03/2021","ACE.006803269.0000002","2021.PPR.1389155","","0.00","","CG Invoices to be received account"
"","2021 PPR  1389163","2021 PPR  1389163","","15/04/2021","**","","-17.00","0.00","NZD","0.00","2021","202109","PPR","1389163 ITR","","31/03/2021","31/03/2021","ACE.006803278.0000002","2021.PPR.1389163","","0.00","","CG Invoices to be received account"
"","2021 PPR  1398903","2021 PPR  1398903","","15/05/2021","**","","-9.00","0.00","NZD","0.00","2021","202110","PPR","1398903 ITR","","21/04/2021","21/04/2021","ACE.006809924.0000002","2021.PPR.1398903","","0.00","","CG Invoices to be received account"
"","2021 PPR  1402033","2021 PPR  1402033","","15/05/2021","**","","-4,742.03","0.00","NZD","0.00","2021","202110","PPR","1402033 ITR","","28/04/2021","28/04/2021","ACE.006795828.0000074","2021.PPR.1402033","","0.00","","CG Invoices to be received account"
"","2021 PPR  1406245","2021 PPR  1406245","","15/06/2021","**","","-12.00","0.00","NZD","0.00","2021","202111","PPR","1406245 ITR","","05/05/2021","05/05/2021","ACE.006814977.0000006","2021.PPR.1406245","","0.00","","CG Invoices to be received account"
"","2021 PPR  1407469","2021 PPR  1407469","","15/06/2021","**","","-1,068.92","0.00","NZD","0.00","2021","202111","PPR","1407469 ITR","","07/05/2021","07/05/2021","ACE.006815710.0000002","2021.PPR.1407469","","0.00","","CG Invoices to be received account"
"","2021 PPR  1408973","2021 PPR  1408973","","15/06/2021","**","","-339.25","0.00","NZD","0.00","2021","202111","PPR","1408973 ITR","","10/05/2021","10/05/2021","ACE.006793560.0000064","2021.PPR.1408973","","0.00","","CG Invoices to be received account"
"","2021 PPR  1414360","2021 PPR  1414360","","15/06/2021","**","","-2,005.60","0.00","NZD","0.00","2021","202111","PPR","1414360 ITR","","20/05/2021","20/05/2021","ACE.006819355.0000004","2021.PPR.1414360","","0.00","","CG Invoices to be received account"
"","2021 PPR  1415042","2021 PPR  1415042","","15/06/2021","**","","-9.00","0.00","NZD","0.00","2021","202111","PPR","1415042 ITR","","21/05/2021","21/05/2021","ACE.006806950.0000010","2021.PPR.1415042","","0.00","","CG Invoices to be received account"
"","2021 PPR  1425390","2021 PPR  1425390","","15/07/2021","**","","2,005.60","0.00","NZD","0.00","2021","202112","PPR","1425390 ITR","","10/06/2021","10/06/2021","ACE.006819355.0000017","2021.PPR.1425390","","0.00","","CG Invoices to be received account"
"","2021 PPR  1430099","2021 PPR  1430099","","15/07/2021","**","","-402.50","0.00","NZD","0.00","2021","202112","PPR","1430099 ITR","","18/06/2021","18/06/2021","ACE.006830831.0000002","2021.PPR.1430099","","0.00","","CG Invoices to be received account"
"","2021 PPR  1430100","2021 PPR  1430100","","15/07/2021","**","","-448.50","0.00","NZD","0.00","2021","202112","PPR","1430100 ITR","","18/06/2021","18/06/2021","ACE.006830831.0000004","2021.PPR.1430100","","0.00","","CG Invoices to be received account"
"","2021 PPR  1430102","2021 PPR  1430102","","15/07/2021","**","","-402.50","0.00","NZD","0.00","2021","202112","PPR","1430102 ITR","","18/06/2021","18/06/2021","ACE.006830831.0000011","2021.PPR.1430102","","0.00","","CG Invoices to be received account"
"","2021 PPR  1430103","2021 PPR  1430103","","15/07/2021","**","","-448.50","0.00","NZD","0.00","2021","202112","PPR","1430103 ITR","","18/06/2021","18/06/2021","ACE.006830831.0000013","2021.PPR.1430103","","0.00","","CG Invoices to be received account"
"","2021 PPR  1431116","2021 PPR  1431116","","15/07/2021","**","","402.50","0.00","NZD","0.00","2021","202112","PPR","1431116 ITR","","21/06/2021","21/06/2021","ACE.006830831.0000018","2021.PPR.1431116","","0.00","","CG Invoices to be received account"
"","2021 PPR  1431117","2021 PPR  1431117","","15/07/2021","**","","448.50","0.00","NZD","0.00","2021","202112","PPR","1431117 ITR","","21/06/2021","21/06/2021","ACE.006830831.0000019","2021.PPR.1431117","","0.00","","CG Invoices to be received account"
"","2021 PPR  1431120","2021 PPR  1431120","","15/07/2021","**","","-402.50","0.00","NZD","0.00","2021","202112","PPR","1431120 ITR","","21/06/2021","21/06/2021","ACE.006830831.0000026","2021.PPR.1431120","","0.00","","CG Invoices to be received account"
"","2021 PPR  1431721","2021 PPR  1431721","","15/07/2021","**","","402.50","0.00","NZD","0.00","2021","202112","PPR","1431721 ITR","","22/06/2021","22/06/2021","ACE.006830831.0000030","2021.PPR.1431721","","0.00","","CG Invoices to be received account"
"","2021 PPR  1431722","2021 PPR  1431722","","15/07/2021","**","","448.50","0.00","NZD","0.00","2021","202112","PPR","1431722 ITR","","22/06/2021","22/06/2021","ACE.006830831.0000031","2021.PPR.1431722","","0.00","","CG Invoices to be received account"
"","2021 PPR  1436137","2021 PPR  1436137","","15/07/2021","**","","-1,397.00","0.00","NZD","0.00","2021","202112","PPR","1436137 ITR","","30/06/2021","30/06/2021","ACE.006822655.0000010","2021.PPR.1436137","","0.00","","CG Invoices to be received account"
"","2021 PPR  1436138","2021 PPR  1436138","","15/07/2021","**","","1,397.00","0.00","NZD","0.00","2021","202112","PPR","1436138 ITR","","30/06/2021","30/06/2021","ACE.006822655.0000011","2021.PPR.1436138","","0.00","","CG Invoices to be received account"
"","2021 PUR   308673","2021 PUR   308673","","15/10/2020","**","","-575.00","0.00","NZD","0.00","2021","202103","PUR","308673 VPA","","16/09/2020","16/09/2020","ACE.006735348.0000009","2021.PUR.0308673","","0.00","","CG Invoices to be received account"
"","2021 PUR   308673","2021 PUR   308673","","15/10/2020","**","","-225.00","0.00","NZD","0.00","2021","202103","PUR","308673 VPA","","16/09/2020","16/09/2020","ACE.006749167.0000008","2021.PUR.0308673","","0.00","","CG Invoices to be received account"
"","2021 PUR   311384","2021 PUR   311384","","15/10/2020","**","","225.00","0.00","NZD","0.00","2021","202104","PUR","311384 VPA","","22/09/2020","14/10/2020","ACE.006749167.0000010","2021.PUR.0311384","","0.00","","CG Invoices to be received account"
"","2021 PUR   315840","2021 PUR   315840","","15/12/2020","**","","-2,098.75","0.00","NZD","0.00","2021","202105","PUR","315840 VPA","","16/11/2020","16/11/2020","ACE.006752286.0000007","2021.PUR.0315840","","0.00","","CG Invoices to be received account"
"","2021 PUR   331582","2021 PUR   331582","","15/04/2021","**","","4,742.03","0.00","NZD","0.00","2021","202110","PUR","331582 VPA","","25/03/2021","28/04/2021","ACE.006795828.0000009","2021.PUR.0331582","","0.00","","CG Invoices to be received account"
