sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1257808","2020 PPR  1257808","","15/04/2020","**","","-34.06","0.00","NZD","0.00","2020","202009","PPR","1257808 ITR","","16/03/2020","16/03/2020","ACE.006701443.0000012","2020.PPR.1257808","","0.00","","CG Invoices to be received account"
"","2020 PPR  1257809","2020 PPR  1257809","","15/04/2020","**","","-35.96","0.00","NZD","0.00","2020","202009","PPR","1257809 ITR","","16/03/2020","16/03/2020","ACE.006701443.0000014","2020.PPR.1257809","","0.00","","CG Invoices to be received account"
"","2020 PPR  1258092","2020 PPR  1258092","","15/04/2020","**","","-83.00","0.00","NZD","0.00","2020","202009","PPR","1258092 ITR","","16/03/2020","16/03/2020","ACE.006710957.0000023","2020.PPR.1258092","","0.00","","CG Invoices to be received account"
"","2020 PPR  1258129","2020 PPR  1258129","","15/04/2020","**","","-78.00","0.00","NZD","0.00","2020","202009","PPR","1258129 ITR","","16/03/2020","16/03/2020","ACE.006723816.0000006","2020.PPR.1258129","","0.00","","CG Invoices to be received account"
"","2020 PPR  1258130","2020 PPR  1258130","","15/04/2020","**","","-78.00","0.00","NZD","0.00","2020","202009","PPR","1258130 ITR","","16/03/2020","16/03/2020","ACE.006723816.0000008","2020.PPR.1258130","","0.00","","CG Invoices to be received account"
"","2020 PPR  1258137","2020 PPR  1258137","","15/04/2020","**","","-78.00","0.00","NZD","0.00","2020","202009","PPR","1258137 ITR","","16/03/2020","16/03/2020","ACE.006723817.0000006","2020.PPR.1258137","","0.00","","CG Invoices to be received account"
"","2020 PPR  1258138","2020 PPR  1258138","","15/04/2020","**","","-78.00","0.00","NZD","0.00","2020","202009","PPR","1258138 ITR","","16/03/2020","16/03/2020","ACE.006723817.0000008","2020.PPR.1258138","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264766","2020 PPR  1264766","","15/05/2020","**","","-78.00","0.00","NZD","0.00","2020","202010","PPR","1264766 ITR","","06/04/2020","06/04/2020","ACE.006723836.0000021","2020.PPR.1264766","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264767","2020 PPR  1264767","","15/05/2020","**","","-78.00","0.00","NZD","0.00","2020","202010","PPR","1264767 ITR","","06/04/2020","06/04/2020","ACE.006723836.0000023","2020.PPR.1264767","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264768","2020 PPR  1264768","","15/05/2020","**","","-37.44","0.00","NZD","0.00","2020","202010","PPR","1264768 ITR","","06/04/2020","06/04/2020","ACE.006719836.0000020","2020.PPR.1264768","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264769","2020 PPR  1264769","","15/05/2020","**","","78.00","0.00","NZD","0.00","2020","202010","PPR","1264769 ITR","","06/04/2020","06/04/2020","ACE.006723816.0000014","2020.PPR.1264769","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264770","2020 PPR  1264770","","15/05/2020","**","","-78.00","0.00","NZD","0.00","2020","202010","PPR","1264770 ITR","","06/04/2020","06/04/2020","ACE.006723816.0000015","2020.PPR.1264770","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264771","2020 PPR  1264771","","15/05/2020","**","","-78.00","0.00","NZD","0.00","2020","202010","PPR","1264771 ITR","","06/04/2020","06/04/2020","ACE.006723346.0000017","2020.PPR.1264771","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264885","2020 PPR  1264885","","15/05/2020","**","","-83.00","0.00","NZD","0.00","2020","202010","PPR","1264885 ITR","","07/04/2020","07/04/2020","ACE.006722229.0000029","2020.PPR.1264885","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264886","2020 PPR  1264886","","15/05/2020","**","","-83.00","0.00","NZD","0.00","2020","202010","PPR","1264886 ITR","","07/04/2020","07/04/2020","ACE.006723048.0000013","2020.PPR.1264886","","0.00","","CG Invoices to be received account"
