sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1194613","2020 PPR  1194613","","15/01/2020","**","","-133.58","0.00","EUR","-76.93","2020","202006","PPR","1194613 ITR","","11/12/2019","11/12/2019","ACE.006626330.0000015","2020.PPR.1194613","","0.00","","CG Invoices to be received account"
"","2020 PPR  1196623","2020 PPR  1196623","","15/01/2020","**","","-162.50","0.00","GBP","-78.48","2020","202006","PPR","1196623 ITR","","13/12/2019","13/12/2019","ACE.006648481.0000018","2020.PPR.1196623","","0.00","","CG Invoices to be received account"
"","2020 PPR  1261762","2020 PPR  1261762","","15/04/2020","**","","-238.89","0.00","EUR","-125.76","2020","202009","PPR","1261762 ITR","","19/03/2020","19/03/2020","ACE.006712128.0000045","2020.PPR.1261762","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264078","2020 PPR  1264078","","15/04/2020","**","","-96.43","0.00","EUR","-49.70","2020","202009","PPR","1264078 ITR","","26/03/2020","26/03/2020","ACE.006602500.0000019","2020.PPR.1264078","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264079","2020 PPR  1264079","","15/04/2020","**","","-96.43","0.00","EUR","-49.70","2020","202009","PPR","1264079 ITR","","26/03/2020","26/03/2020","ACE.006602500.0000020","2020.PPR.1264079","","0.00","","CG Invoices to be received account"
"","2020 PPR  1264186","2020 PPR  1264186","","15/04/2020","**","","-165.83","0.00","GBP","-78.48","2020","202009","PPR","1264186 ITR","","27/03/2020","27/03/2020","ACE.006620723.0000020","2020.PPR.1264186","","0.00","","CG Invoices to be received account"
"","2020 PPR  1265177","2020 PPR  1265177","","15/05/2020","**","","-362.44","0.00","EUR","-195.23","2020","202010","PPR","1265177 ITR","","15/04/2020","15/04/2020","ACE.006721006.0000023","2020.PPR.1265177","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","75.63","0.00","EUR","43.00","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006585340.0000012","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","-75.63","0.00","EUR","-43.00","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006585340.0000015","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","130.77","0.00","GBP","65.86","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006601923.0000009","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","-130.77","0.00","GBP","-65.86","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006601923.0000018","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","128.43","0.00","GBP","65.86","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006601923.0000021","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","-128.43","0.00","GBP","-65.86","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006601923.0000055","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","126.36","0.00","GBP","65.86","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006601923.0000056","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","-126.36","0.00","GBP","-65.86","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006601923.0000075","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","137.28","0.00","EUR","76.93","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006626330.0000009","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","-137.28","0.00","EUR","-76.93","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006626330.0000013","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","331.37","0.00","EUR","185.31","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006626757.0000019","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2020 PUR   261826","2020 PUR   261826","","15/10/2019","**","","-331.37","0.00","EUR","-185.31","2020","202003","PUR","261826 VPA","","19/09/2019","19/09/2019","ACE.006626757.0000026","2020.PUR.0261826","","0.00","","CG Invoices to be received account"
"","2021 PPR  1375218","2021 PPR  1375218","","15/04/2021","**","","453.86","0.00","NZD","0.00","2021","202109","PPR","1375218 ITR","","03/03/2021","03/03/2021","ACE.006648481.0000027","2021.PPR.1375218","","0.00","","CG Invoices to be received account"
"","2023 PPR  1556860","2023 PPR  1556860","","15/08/2022","**","","-266.31","0.00","EUR","-145.46","2023","202301","PPR","1556860 ITR","","13/07/2022","13/07/2022","ACE.006899782.0000030","2023.PPR.1556860","","0.00","","CG Invoices to be received account"
"","2023 PPR  1560980","2023 PPR  1560980","","15/08/2022","**","","-284.64","0.00","EUR","-155.47","2023","202301","PPR","1560980 ITR","","22/07/2022","22/07/2022","ACE.006906980.0000020","2023.PPR.1560980","","0.00","","CG Invoices to be received account"
