sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2023 PPR  1581714","2023 PPR  1581714","","15/10/2022","**","","-184.50","0.00","NZD","0.00","2023","202303","PPR","1581714 ITR","","09/09/2022","09/09/2022","ACE.006911517.0000005","2023.PPR.1581714","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581715","2023 PPR  1581715","","15/10/2022","**","","-215.25","0.00","NZD","0.00","2023","202303","PPR","1581715 ITR","","09/09/2022","09/09/2022","ACE.006905675.0000005","2023.PPR.1581715","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581720","2023 PPR  1581720","","15/10/2022","**","","-215.25","0.00","NZD","0.00","2023","202303","PPR","1581720 ITR","","09/09/2022","09/09/2022","ACE.006913484.0000005","2023.PPR.1581720","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581767","2023 PPR  1581767","","15/10/2022","**","","-215.25","0.00","NZD","0.00","2023","202303","PPR","1581767 ITR","","09/09/2022","09/09/2022","ACE.006913285.0000010","2023.PPR.1581767","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581966","2023 PPR  1581966","","15/10/2022","**","","-215.25","0.00","NZD","0.00","2023","202303","PPR","1581966 ITR","","09/09/2022","09/09/2022","ACE.006914526.0000005","2023.PPR.1581966","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581968","2023 PPR  1581968","","15/10/2022","**","","-184.50","0.00","NZD","0.00","2023","202303","PPR","1581968 ITR","","09/09/2022","09/09/2022","ACE.006910336.0000008","2023.PPR.1581968","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581971","2023 PPR  1581971","","15/10/2022","**","","-205.00","0.00","NZD","0.00","2023","202303","PPR","1581971 ITR","","09/09/2022","09/09/2022","ACE.006904921.0000005","2023.PPR.1581971","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581980","2023 PPR  1581980","","15/10/2022","**","","-215.25","0.00","NZD","0.00","2023","202303","PPR","1581980 ITR","","09/09/2022","09/09/2022","ACE.006889503.0000007","2023.PPR.1581980","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581981","2023 PPR  1581981","","15/10/2022","**","","-430.50","0.00","NZD","0.00","2023","202303","PPR","1581981 ITR","","09/09/2022","09/09/2022","ACE.006885390.0000005","2023.PPR.1581981","","0.00","","CG Invoices to be received account"
"","2023 PPR  1584460","2023 PPR  1584460","","15/10/2022","**","","-215.25","0.00","NZD","0.00","2023","202303","PPR","1584460 ITR","","15/09/2022","15/09/2022","ACE.006919206.0000005","2023.PPR.1584460","","0.00","","CG Invoices to be received account"
"","2023 PPR  1587640","2023 PPR  1587640","","15/10/2022","**","","-430.50","0.00","NZD","0.00","2023","202303","PPR","1587640 ITR","","22/09/2022","22/09/2022","ACE.006920479.0000005","2023.PPR.1587640","","0.00","","CG Invoices to be received account"
"","2023 PPR  1590323","2023 PPR  1590323","","15/10/2022","**","","-215.25","0.00","NZD","0.00","2023","202303","PPR","1590323 ITR","","29/09/2022","29/09/2022","ACE.006918908.0000005","2023.PPR.1590323","","0.00","","CG Invoices to be received account"
"","2023 PPR  1596141","2023 PPR  1596141","","15/11/2022","**","","-184.50","0.00","NZD","0.00","2023","202304","PPR","1596141 ITR","","13/10/2022","13/10/2022","ACE.006924701.0000005","2023.PPR.1596141","","0.00","","CG Invoices to be received account"
"","2023 PPR  1603926","2023 PPR  1603926","","15/12/2022","**","","-184.50","0.00","NZD","0.00","2023","202305","PPR","1603926 ITR","","02/11/2022","02/11/2022","ACE.006928928.0000005","2023.PPR.1603926","","0.00","","CG Invoices to be received account"
"","2023 PPR  1609614","2023 PPR  1609614","","15/12/2022","**","","-184.50","0.00","NZD","0.00","2023","202305","PPR","1609614 ITR","","18/11/2022","18/11/2022","ACE.006925706.0000014","2023.PPR.1609614","","0.00","","CG Invoices to be received account"
