sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1254441","2020 PPR  1254441","","18/03/2020","**","","-22.50","0.00","NZD","0.00","2020","202009","PPR","1254441 ITR","","11/03/2020","11/03/2020","ACE.006724789.0000013","2020.PPR.1254441","","0.00","","CG Invoices to be received account"
"","2020 PPR  1260771","2020 PPR  1260771","","25/03/2020","**","","-22.50","0.00","NZD","0.00","2020","202009","PPR","1260771 ITR","","18/03/2020","18/03/2020","ACE.006724789.0000022","2020.PPR.1260771","","0.00","","CG Invoices to be received account"
"","2020 PPR  1270022","2020 PPR  1270022","","22/06/2020","**","","-53.70","0.00","NZD","0.00","2020","202012","PPR","1270022 ITR","","15/06/2020","15/06/2020","ACE.006730378.0000006","2020.PPR.1270022","","0.00","","CG Invoices to be received account"
"","2020 PPR  1270023","2020 PPR  1270023","","22/06/2020","**","","-53.70","0.00","NZD","0.00","2020","202012","PPR","1270023 ITR","","15/06/2020","15/06/2020","ACE.006730378.0000008","2020.PPR.1270023","","0.00","","CG Invoices to be received account"
"","2020 PPR  1270025","2020 PPR  1270025","","22/06/2020","**","","-67.20","0.00","NZD","0.00","2020","202012","PPR","1270025 ITR","","15/06/2020","15/06/2020","ACE.006730340.0000007","2020.PPR.1270025","","0.00","","CG Invoices to be received account"
"","2020 PPR  1270026","2020 PPR  1270026","","22/06/2020","**","","-67.20","0.00","NZD","0.00","2020","202012","PPR","1270026 ITR","","15/06/2020","15/06/2020","ACE.006730340.0000009","2020.PPR.1270026","","0.00","","CG Invoices to be received account"
"","2020 PPR  1270470","2020 PPR  1270470","","23/06/2020","**","","-59.10","0.00","NZD","0.00","2020","202012","PPR","1270470 ITR","","16/06/2020","16/06/2020","ACE.006730675.0000004","2020.PPR.1270470","","0.00","","CG Invoices to be received account"
"","2020 PPR  1270805","2020 PPR  1270805","","24/06/2020","**","","-42.00","0.00","NZD","0.00","2020","202012","PPR","1270805 ITR","","17/06/2020","17/06/2020","ACE.006730960.0000004","2020.PPR.1270805","","0.00","","CG Invoices to be received account"
"","2020 PPR  1271258","2020 PPR  1271258","","25/06/2020","**","","-67.20","0.00","NZD","0.00","2020","202012","PPR","1271258 ITR","","18/06/2020","18/06/2020","ACE.006731229.0000004","2020.PPR.1271258","","0.00","","CG Invoices to be received account"
"","2020 PPR  1271651","2020 PPR  1271651","","26/06/2020","**","","-51.00","0.00","NZD","0.00","2020","202012","PPR","1271651 ITR","","19/06/2020","19/06/2020","ACE.006731497.0000008","2020.PPR.1271651","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272106","2020 PPR  1272106","","29/06/2020","**","","-21.30","0.00","NZD","0.00","2020","202012","PPR","1272106 ITR","","22/06/2020","22/06/2020","ACE.006731729.0000004","2020.PPR.1272106","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272109","2020 PPR  1272109","","29/06/2020","**","","-21.30","0.00","NZD","0.00","2020","202012","PPR","1272109 ITR","","22/06/2020","22/06/2020","ACE.006731729.0000006","2020.PPR.1272109","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272142","2020 PPR  1272142","","29/06/2020","**","","-59.10","0.00","NZD","0.00","2020","202012","PPR","1272142 ITR","","22/06/2020","22/06/2020","ACE.006731810.0000004","2020.PPR.1272142","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272535","2020 PPR  1272535","","30/06/2020","**","","-26.70","0.00","NZD","0.00","2020","202012","PPR","1272535 ITR","","23/06/2020","23/06/2020","ACE.006732075.0000006","2020.PPR.1272535","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272536","2020 PPR  1272536","","30/06/2020","**","","-26.70","0.00","NZD","0.00","2020","202012","PPR","1272536 ITR","","23/06/2020","23/06/2020","ACE.006732075.0000008","2020.PPR.1272536","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272550","2020 PPR  1272550","","30/06/2020","**","","-28.50","0.00","NZD","0.00","2020","202012","PPR","1272550 ITR","","23/06/2020","23/06/2020","ACE.006732092.0000006","2020.PPR.1272550","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272551","2020 PPR  1272551","","30/06/2020","**","","-28.50","0.00","NZD","0.00","2020","202012","PPR","1272551 ITR","","23/06/2020","23/06/2020","ACE.006732092.0000008","2020.PPR.1272551","","0.00","","CG Invoices to be received account"
"","2020 PPR  1272981","2020 PPR  1272981","","01/07/2020","**","","-34.80","0.00","NZD","0.00","2020","202012","PPR","1272981 ITR","","24/06/2020","24/06/2020","ACE.006732318.0000004","2020.PPR.1272981","","0.00","","CG Invoices to be received account"
