sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2019 PUR   215268","2019 PUR   215268","","15/03/2019","**","","20.00","0.00","NZD","0.00","2019","201909","PUR","215268 VPA","","28/02/2019","08/03/2019","ACE.006541635.0000002","2019.PUR.0215268","","0.00","","CG Invoices to be received account"
"","2019 PUR   215270","2019 PUR   215270","","15/04/2019","**","","-20.00","0.00","NZD","0.00","2019","201909","PUR","215270 VPA","","08/03/2019","08/03/2019","ACE.006541635.0000013","2019.PUR.0215270","","0.00","","CG Invoices to be received account"
"","2019 PUR   215998","2019 PUR   215998","","15/04/2019","**","","7.00","0.00","NZD","0.00","2019","201909","PUR","215998 VPA","","02/03/2019","11/03/2019","ACE.006543430.0000002","2019.PUR.0215998","","0.00","","CG Invoices to be received account"
"","2019 PUR   215998","2019 PUR   215998","","15/04/2019","**","","27.00","0.00","NZD","0.00","2019","201909","PUR","215998 VPA","","02/03/2019","11/03/2019","ACE.006543430.0000004","2019.PUR.0215998","","0.00","","CG Invoices to be received account"
"","2019 PUR   216255","2019 PUR   216255","","15/04/2019","**","","-7.00","0.00","NZD","0.00","2019","201909","PUR","216255 VPA","","09/03/2019","12/03/2019","ACE.006543430.0000009","2019.PUR.0216255","","0.00","","CG Invoices to be received account"
"","2019 PUR   216255","2019 PUR   216255","","15/04/2019","**","","-27.00","0.00","NZD","0.00","2019","201909","PUR","216255 VPA","","09/03/2019","12/03/2019","ACE.006543430.0000010","2019.PUR.0216255","","0.00","","CG Invoices to be received account"
"","2019 PUR   223730","2019 PUR   223730","","15/04/2019","**","","280.00","0.00","NZD","0.00","2019","201910","PUR","223730 VPA","","30/03/2019","10/04/2019","ACE.006558442.0000009","2019.PUR.0223730","","0.00","","CG Invoices to be received account"
"","2019 PUR   223730","2019 PUR   223730","","15/04/2019","**","","-280.00","0.00","NZD","0.00","2019","201910","PUR","223730 VPA","","30/03/2019","10/04/2019","ACE.006558442.0000014","2019.PUR.0223730","","0.00","","CG Invoices to be received account"
"","2019 PUR   224147","2019 PUR   224147","","15/05/2019","**","","67.00","0.00","NZD","0.00","2019","201910","PUR","224147 VPA","","06/04/2019","11/04/2019","ACE.006559624.0000002","2019.PUR.0224147","","0.00","","CG Invoices to be received account"
"","2019 PUR   224147","2019 PUR   224147","","15/05/2019","**","","57.00","0.00","NZD","0.00","2019","201910","PUR","224147 VPA","","06/04/2019","11/04/2019","ACE.006559624.0000004","2019.PUR.0224147","","0.00","","CG Invoices to be received account"
