sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1222301","2020 PPR  1222301","","15/03/2020","**","","-910.00","0.00","NZD","0.00","2020","202008","PPR","1222301 ITR","","03/02/2020","03/02/2020","ACE.006700247.0000014","2020.PPR.1222301","","0.00","","CG Invoices to be received account"
"","2021 PPR  1346617","2021 PPR  1346617","","15/01/2021","**","","-450.62","0.00","NZD","0.00","2021","202106","PPR","1346617 ITR","","11/12/2020","11/12/2020","ACE.006767627.0000016","2021.PPR.1346617","","0.00","","CG Invoices to be received account"
"","2021 PPR  1348409","2021 PPR  1348409","","15/01/2021","**","","-441.71","0.00","NZD","0.00","2021","202106","PPR","1348409 ITR","","16/12/2020","16/12/2020","ACE.006767627.0000017","2021.PPR.1348409","","0.00","","CG Invoices to be received account"
"","2022 PPR  1437651","2022 PPR  1437651","","15/08/2021","**","","-1,613.95","0.00","NZD","0.00","2022","202201","PPR","1437651 ITR","","05/07/2021","05/07/2021","ACE.006784184.0000018","2022.PPR.1437651","","0.00","","CG Invoices to be received account"
"","2022 PPR  1437655","2022 PPR  1437655","","15/08/2021","**","","-1,613.95","0.00","NZD","0.00","2022","202201","PPR","1437655 ITR","","05/07/2021","05/07/2021","ACE.006784192.0000012","2022.PPR.1437655","","0.00","","CG Invoices to be received account"
"","2022 PPR  1452755","2022 PPR  1452755","","15/09/2021","**","","-7,475.16","0.00","NZD","0.00","2022","202202","PPR","1452755 ITR","","03/08/2021","03/08/2021","ACE.006839032.0000036","2022.PPR.1452755","","0.00","","CG Invoices to be received account"
"","2022 PPR  1464384","2022 PPR  1464384","","15/10/2021","**","","-1,989.00","0.00","NZD","0.00","2022","202203","PPR","1464384 ITR","","02/09/2021","02/09/2021","ACE.006849587.0000031","2022.PPR.1464384","","0.00","","CG Invoices to be received account"
"","2022 PPR  1464586","2022 PPR  1464586","","15/10/2021","**","","-1,995.00","0.00","NZD","0.00","2022","202203","PPR","1464586 ITR","","03/09/2021","03/09/2021","ACE.006849574.0000021","2022.PPR.1464586","","0.00","","CG Invoices to be received account"
"","2022 PPR  1466040","2022 PPR  1466040","","15/10/2021","**","","-1,989.00","0.00","NZD","0.00","2022","202203","PPR","1466040 ITR","","09/09/2021","09/09/2021","ACE.006849595.0000028","2022.PPR.1466040","","0.00","","CG Invoices to be received account"
"","2022 PPR  1466041","2022 PPR  1466041","","15/10/2021","**","","-1,989.00","0.00","NZD","0.00","2022","202203","PPR","1466041 ITR","","09/09/2021","09/09/2021","ACE.006849595.0000030","2022.PPR.1466041","","0.00","","CG Invoices to be received account"
