sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1185289","2020 PPR  1185289","","28/11/2019","**","","-98.78","0.00","NZD","0.00","2020","202005","PPR","1185289 ITR","","28/11/2019","28/11/2019","ACE.006630230.0000043","2020.PPR.1185289","","0.00","","CG Invoices to be received account"
"","2020 PPR  1189012","2020 PPR  1189012","","03/12/2019","**","","-384.05","0.00","NZD","0.00","2020","202006","PPR","1189012 ITR","","03/12/2019","03/12/2019","ACE.006642233.0000028","2020.PPR.1189012","","0.00","","CG Invoices to be received account"
"","2020 PPR  1189014","2020 PPR  1189014","","03/12/2019","**","","-1,520.00","0.00","NZD","0.00","2020","202006","PPR","1189014 ITR","","03/12/2019","03/12/2019","ACE.006642233.0000032","2020.PPR.1189014","","0.00","","CG Invoices to be received account"
"","2020 PPR  1189015","2020 PPR  1189015","","03/12/2019","**","","-886.68","0.00","NZD","0.00","2020","202006","PPR","1189015 ITR","","03/12/2019","03/12/2019","ACE.006642233.0000034","2020.PPR.1189015","","0.00","","CG Invoices to be received account"
"","2020 PPR  1189016","2020 PPR  1189016","","03/12/2019","**","","-949.86","0.00","NZD","0.00","2020","202006","PPR","1189016 ITR","","03/12/2019","03/12/2019","ACE.006642233.0000036","2020.PPR.1189016","","0.00","","CG Invoices to be received account"
"","2020 PPR  1189017","2020 PPR  1189017","","03/12/2019","**","","-843.40","0.00","NZD","0.00","2020","202006","PPR","1189017 ITR","","03/12/2019","03/12/2019","ACE.006642233.0000038","2020.PPR.1189017","","0.00","","CG Invoices to be received account"
"","2020 PPR  1189020","2020 PPR  1189020","","03/12/2019","**","","-136.50","0.00","NZD","0.00","2020","202006","PPR","1189020 ITR","","03/12/2019","03/12/2019","ACE.006642233.0000044","2020.PPR.1189020","","0.00","","CG Invoices to be received account"
"","2020 PPR  1227018","2020 PPR  1227018","","09/02/2020","**","","1,520.00","0.00","NZD","0.00","2020","202008","PPR","1227018 ITR","","09/02/2020","09/02/2020","ACE.006642233.0000058","2020.PPR.1227018","","0.00","","CG Invoices to be received account"
"","2020 PPR  1227019","2020 PPR  1227019","","09/02/2020","**","","886.68","0.00","NZD","0.00","2020","202008","PPR","1227019 ITR","","09/02/2020","09/02/2020","ACE.006642233.0000059","2020.PPR.1227019","","0.00","","CG Invoices to be received account"
"","2020 PPR  1227128","2020 PPR  1227128","","10/02/2020","**","","-331.93","0.00","NZD","0.00","2020","202008","PPR","1227128 ITR","","10/02/2020","10/02/2020","ACE.006642233.0000063","2020.PPR.1227128","","0.00","","CG Invoices to be received account"
"","2020 PPR  1242888","2020 PPR  1242888","","26/02/2020","**","","1,460.16","0.00","NZD","0.00","2020","202008","PPR","1242888 ITR","","26/02/2020","26/02/2020","ACE.006688345.0000015","2020.PPR.1242888","","0.00","","CG Invoices to be received account"
"","2021 PPR  1275488","2021 PPR  1275488","","01/07/2020","**","","973.20","0.00","NZD","0.00","2021","202101","PPR","1275488 ITR","","01/07/2020","01/07/2020","ACE.006714776.0000095","2021.PPR.1275488","","0.00","","CG Invoices to be received account"
"","2021 PPR  1292346","2021 PPR  1292346","","10/08/2020","**","","869.00","0.00","NZD","0.00","2021","202102","PPR","1292346 ITR","","10/08/2020","10/08/2020","ACE.006704015.0000034","2021.PPR.1292346","","0.00","","CG Invoices to be received account"
