sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1193930","2020 PPR  1193930","","17/12/2019","**","","-89.00","0.00","NZD","0.00","2020","202006","PPR","1193930 ITR","","10/12/2019","10/12/2019","ACE.006688822.0000003","2020.PPR.1193930","","0.00","","CG Invoices to be received account"
"","2020 PPR  1193931","2020 PPR  1193931","","17/12/2019","**","","-79.00","0.00","NZD","0.00","2020","202006","PPR","1193931 ITR","","10/12/2019","10/12/2019","ACE.006688822.0000005","2020.PPR.1193931","","0.00","","CG Invoices to be received account"
"","2020 PPR  1193932","2020 PPR  1193932","","17/12/2019","**","","-89.00","0.00","NZD","0.00","2020","202006","PPR","1193932 ITR","","10/12/2019","10/12/2019","ACE.006688822.0000008","2020.PPR.1193932","","0.00","","CG Invoices to be received account"
"","2020 PPR  1193933","2020 PPR  1193933","","17/12/2019","**","","-79.00","0.00","NZD","0.00","2020","202006","PPR","1193933 ITR","","10/12/2019","10/12/2019","ACE.006688822.0000010","2020.PPR.1193933","","0.00","","CG Invoices to be received account"
"","2020 PPR  1201283","2020 PPR  1201283","","27/12/2019","**","","-119.00","0.00","NZD","0.00","2020","202006","PPR","1201283 ITR","","20/12/2019","20/12/2019","ACE.006692169.0000003","2020.PPR.1201283","","0.00","","CG Invoices to be received account"
"","2020 PPR  1201284","2020 PPR  1201284","","27/12/2019","**","","-109.00","0.00","NZD","0.00","2020","202006","PPR","1201284 ITR","","20/12/2019","20/12/2019","ACE.006692169.0000005","2020.PPR.1201284","","0.00","","CG Invoices to be received account"
"","2020 PPR  1213273","2020 PPR  1213273","","29/01/2020","**","","-109.00","0.00","NZD","0.00","2020","202007","PPR","1213273 ITR","","22/01/2020","22/01/2020","ACE.006697144.0000003","2020.PPR.1213273","","0.00","","CG Invoices to be received account"
"","2020 PPR  1213274","2020 PPR  1213274","","29/01/2020","**","","-99.00","0.00","NZD","0.00","2020","202007","PPR","1213274 ITR","","22/01/2020","22/01/2020","ACE.006697144.0000005","2020.PPR.1213274","","0.00","","CG Invoices to be received account"
"","2020 PPR  1219897","2020 PPR  1219897","","06/02/2020","**","","-119.00","0.00","NZD","0.00","2020","202007","PPR","1219897 ITR","","30/01/2020","30/01/2020","ACE.006705164.0000003","2020.PPR.1219897","","0.00","","CG Invoices to be received account"
"","2020 PPR  1219898","2020 PPR  1219898","","06/02/2020","**","","-119.00","0.00","NZD","0.00","2020","202007","PPR","1219898 ITR","","30/01/2020","30/01/2020","ACE.006705164.0000005","2020.PPR.1219898","","0.00","","CG Invoices to be received account"
"","2020 PPR  1219899","2020 PPR  1219899","","06/02/2020","**","","-119.00","0.00","NZD","0.00","2020","202007","PPR","1219899 ITR","","30/01/2020","30/01/2020","ACE.006705164.0000008","2020.PPR.1219899","","0.00","","CG Invoices to be received account"
"","2020 PPR  1219900","2020 PPR  1219900","","06/02/2020","**","","-119.00","0.00","NZD","0.00","2020","202007","PPR","1219900 ITR","","30/01/2020","30/01/2020","ACE.006705164.0000010","2020.PPR.1219900","","0.00","","CG Invoices to be received account"
"","2020 PPR  1226013","2020 PPR  1226013","","14/02/2020","**","","-198.00","0.00","NZD","0.00","2020","202008","PPR","1226013 ITR","","07/02/2020","07/02/2020","ACE.006708823.0000006","2020.PPR.1226013","","0.00","","CG Invoices to be received account"
"","2020 PPR  1228234","2020 PPR  1228234","","18/02/2020","**","","-109.00","0.00","NZD","0.00","2020","202008","PPR","1228234 ITR","","11/02/2020","11/02/2020","ACE.006710149.0000003","2020.PPR.1228234","","0.00","","CG Invoices to be received account"
"","2020 PPR  1230198","2020 PPR  1230198","","19/02/2020","**","","-191.00","0.00","NZD","0.00","2020","202008","PPR","1230198 ITR","","12/02/2020","12/02/2020","ACE.006711595.0000003","2020.PPR.1230198","","0.00","","CG Invoices to be received account"
"","2020 PPR  1230199","2020 PPR  1230199","","19/02/2020","**","","-191.00","0.00","NZD","0.00","2020","202008","PPR","1230199 ITR","","12/02/2020","12/02/2020","ACE.006711595.0000005","2020.PPR.1230199","","0.00","","CG Invoices to be received account"
"","2020 PPR  1230200","2020 PPR  1230200","","19/02/2020","**","","-191.00","0.00","NZD","0.00","2020","202008","PPR","1230200 ITR","","12/02/2020","12/02/2020","ACE.006711595.0000008","2020.PPR.1230200","","0.00","","CG Invoices to be received account"
"","2020 PPR  1230201","2020 PPR  1230201","","19/02/2020","**","","-191.00","0.00","NZD","0.00","2020","202008","PPR","1230201 ITR","","12/02/2020","12/02/2020","ACE.006711595.0000010","2020.PPR.1230201","","0.00","","CG Invoices to be received account"
"","2020 PPR  1231419","2020 PPR  1231419","","20/02/2020","**","","-119.00","0.00","NZD","0.00","2020","202008","PPR","1231419 ITR","","13/02/2020","13/02/2020","ACE.006712312.0000018","2020.PPR.1231419","","0.00","","CG Invoices to be received account"
"","2020 PPR  1232720","2020 PPR  1232720","","21/02/2020","**","","-149.50","0.00","NZD","0.00","2020","202008","PPR","1232720 ITR","","14/02/2020","14/02/2020","ACE.006713028.0000005","2020.PPR.1232720","","0.00","","CG Invoices to be received account"
"","2020 PPR  1252443","2020 PPR  1252443","","16/03/2020","**","","-99.00","0.00","NZD","0.00","2020","202009","PPR","1252443 ITR","","09/03/2020","09/03/2020","ACE.006723767.0000003","2020.PPR.1252443","","0.00","","CG Invoices to be received account"
"","2020 PPR  1252444","2020 PPR  1252444","","16/03/2020","**","","-105.00","0.00","NZD","0.00","2020","202009","PPR","1252444 ITR","","09/03/2020","09/03/2020","ACE.006723767.0000005","2020.PPR.1252444","","0.00","","CG Invoices to be received account"
"","2020 PPR  1255530","2020 PPR  1255530","","19/03/2020","**","","119.00","0.00","NZD","0.00","2020","202009","PPR","1255530 ITR","","12/03/2020","12/03/2020","ACE.006705164.0000015","2020.PPR.1255530","","0.00","","CG Invoices to be received account"
"","2020 PPR  1255531","2020 PPR  1255531","","19/03/2020","**","","119.00","0.00","NZD","0.00","2020","202009","PPR","1255531 ITR","","12/03/2020","12/03/2020","ACE.006705164.0000017","2020.PPR.1255531","","0.00","","CG Invoices to be received account"
"","2020 PPR  1255533","2020 PPR  1255533","","19/03/2020","**","","119.00","0.00","NZD","0.00","2020","202009","PPR","1255533 ITR","","12/03/2020","12/03/2020","ACE.006705164.0000016","2020.PPR.1255533","","0.00","","CG Invoices to be received account"
