sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1106382","2020 PPR  1106382","","04/09/2019","**","","-834.00","0.00","NZD","0.00","2020","202003","PPR","1106382 ITR","","04/09/2019","04/09/2019","ACE.006632950.0000009","2020.PPR.1106382","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106388","2020 PPR  1106388","","04/09/2019","**","","-833.00","0.00","NZD","0.00","2020","202003","PPR","1106388 ITR","","04/09/2019","04/09/2019","ACE.006632954.0000009","2020.PPR.1106388","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106392","2020 PPR  1106392","","04/09/2019","**","","-879.60","0.00","NZD","0.00","2020","202003","PPR","1106392 ITR","","04/09/2019","04/09/2019","ACE.006632960.0000007","2020.PPR.1106392","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106412","2020 PPR  1106412","","04/09/2019","**","","-1,067.00","0.00","NZD","0.00","2020","202003","PPR","1106412 ITR","","04/09/2019","04/09/2019","ACE.006634624.0000009","2020.PPR.1106412","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106426","2020 PPR  1106426","","04/09/2019","**","","-1,094.90","0.00","NZD","0.00","2020","202003","PPR","1106426 ITR","","04/09/2019","04/09/2019","ACE.006632969.0000009","2020.PPR.1106426","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106431","2020 PPR  1106431","","04/09/2019","**","","-675.92","0.00","NZD","0.00","2020","202003","PPR","1106431 ITR","","04/09/2019","04/09/2019","ACE.006633369.0000006","2020.PPR.1106431","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106432","2020 PPR  1106432","","04/09/2019","**","","-675.92","0.00","NZD","0.00","2020","202003","PPR","1106432 ITR","","04/09/2019","04/09/2019","ACE.006633289.0000006","2020.PPR.1106432","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106434","2020 PPR  1106434","","04/09/2019","**","","-675.92","0.00","NZD","0.00","2020","202003","PPR","1106434 ITR","","04/09/2019","04/09/2019","ACE.006633348.0000006","2020.PPR.1106434","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106452","2020 PPR  1106452","","04/09/2019","**","","-675.92","0.00","NZD","0.00","2020","202003","PPR","1106452 ITR","","04/09/2019","04/09/2019","ACE.006639912.0000006","2020.PPR.1106452","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106458","2020 PPR  1106458","","04/09/2019","**","","-7,433.80","0.00","NZD","0.00","2020","202003","PPR","1106458 ITR","","04/09/2019","04/09/2019","ACE.006639923.0000009","2020.PPR.1106458","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106470","2020 PPR  1106470","","04/09/2019","**","","-675.92","0.00","NZD","0.00","2020","202003","PPR","1106470 ITR","","04/09/2019","04/09/2019","ACE.006633331.0000006","2020.PPR.1106470","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106477","2020 PPR  1106477","","04/09/2019","**","","-789.40","0.00","NZD","0.00","2020","202003","PPR","1106477 ITR","","04/09/2019","04/09/2019","ACE.006633750.0000009","2020.PPR.1106477","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106489","2020 PPR  1106489","","04/09/2019","**","","-15,788.00","0.00","NZD","0.00","2020","202003","PPR","1106489 ITR","","04/09/2019","04/09/2019","ACE.006639947.0000005","2020.PPR.1106489","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106506","2020 PPR  1106506","","04/09/2019","**","","-789.56","0.00","NZD","0.00","2020","202003","PPR","1106506 ITR","","04/09/2019","04/09/2019","ACE.006634397.0000005","2020.PPR.1106506","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106508","2020 PPR  1106508","","04/09/2019","**","","-789.56","0.00","NZD","0.00","2020","202003","PPR","1106508 ITR","","04/09/2019","04/09/2019","ACE.006634615.0000005","2020.PPR.1106508","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106512","2020 PPR  1106512","","04/09/2019","**","","-789.56","0.00","NZD","0.00","2020","202003","PPR","1106512 ITR","","04/09/2019","04/09/2019","ACE.006634159.0000005","2020.PPR.1106512","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106513","2020 PPR  1106513","","04/09/2019","**","","-789.56","0.00","NZD","0.00","2020","202003","PPR","1106513 ITR","","04/09/2019","04/09/2019","ACE.006634450.0000005","2020.PPR.1106513","","0.00","","CG Invoices to be received account"
