sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2022 PPR  1495679","2022 PPR  1495679","","15/02/2022","**","","-53.00","0.00","NZD","0.00","2022","202207","PPR","1495679 ITR","","21/01/2022","21/01/2022","ACE.006866817.0000007","2022.PPR.1495679","","0.00","","CG Invoices to be received account"
"","2023 PPR  1568818","2023 PPR  1568818","","15/09/2022","**","","-45.00","0.00","NZD","0.00","2023","202302","PPR","1568818 ITR","","09/08/2022","09/08/2022","ACE.006908918.0000013","2023.PPR.1568818","","0.00","","CG Invoices to be received account"
"","2023 PPR  1580929","2023 PPR  1580929","","15/10/2022","**","","-99.00","0.00","NZD","0.00","2023","202303","PPR","1580929 ITR","","07/09/2022","07/09/2022","ACE.006917584.0000009","2023.PPR.1580929","","0.00","","CG Invoices to be received account"
"","2023 PPR  1581845","2023 PPR  1581845","","15/10/2022","**","","-99.00","0.00","NZD","0.00","2023","202303","PPR","1581845 ITR","","09/09/2022","09/09/2022","ACE.006917585.0000017","2023.PPR.1581845","","0.00","","CG Invoices to be received account"
"","2023 PPR  1586213","2023 PPR  1586213","","15/10/2022","**","","-98.00","0.00","NZD","0.00","2023","202303","PPR","1586213 ITR","","19/09/2022","19/09/2022","ACE.006920727.0000014","2023.PPR.1586213","","0.00","","CG Invoices to be received account"
"","2023 PPR  1588292","2023 PPR  1588292","","15/10/2022","**","","-57.00","0.00","NZD","0.00","2023","202303","PPR","1588292 ITR","","23/09/2022","23/09/2022","ACE.006920622.0000011","2023.PPR.1588292","","0.00","","CG Invoices to be received account"
"","2023 PPR  1589143","2023 PPR  1589143","","15/10/2022","**","","-98.00","0.00","NZD","0.00","2023","202303","PPR","1589143 ITR","","27/09/2022","27/09/2022","ACE.006920596.0000013","2023.PPR.1589143","","0.00","","CG Invoices to be received account"
"","2023 PPR  1589371","2023 PPR  1589371","","15/10/2022","**","","-98.00","0.00","NZD","0.00","2023","202303","PPR","1589371 ITR","","27/09/2022","27/09/2022","ACE.006920701.0000019","2023.PPR.1589371","","0.00","","CG Invoices to be received account"
"","2023 PPR  1593466","2023 PPR  1593466","","15/11/2022","**","","-57.00","0.00","NZD","0.00","2023","202304","PPR","1593466 ITR","","06/10/2022","06/10/2022","ACE.006923199.0000015","2023.PPR.1593466","","0.00","","CG Invoices to be received account"
"","2023 PPR  1593470","2023 PPR  1593470","","15/11/2022","**","","-57.00","0.00","NZD","0.00","2023","202304","PPR","1593470 ITR","","06/10/2022","06/10/2022","ACE.006923207.0000009","2023.PPR.1593470","","0.00","","CG Invoices to be received account"
"","2023 PPR  1593479","2023 PPR  1593479","","15/11/2022","**","","-135.00","0.00","NZD","0.00","2023","202304","PPR","1593479 ITR","","06/10/2022","06/10/2022","ACE.006923213.0000009","2023.PPR.1593479","","0.00","","CG Invoices to be received account"
"","2023 PPR  1594784","2023 PPR  1594784","","15/11/2022","**","","-37.00","0.00","NZD","0.00","2023","202304","PPR","1594784 ITR","","10/10/2022","10/10/2022","ACE.006924311.0000013","2023.PPR.1594784","","0.00","","CG Invoices to be received account"
"","2023 PPR  1594786","2023 PPR  1594786","","15/11/2022","**","","-37.00","0.00","NZD","0.00","2023","202304","PPR","1594786 ITR","","10/10/2022","10/10/2022","ACE.006924744.0000009","2023.PPR.1594786","","0.00","","CG Invoices to be received account"
"","2023 PPR  1594793","2023 PPR  1594793","","15/11/2022","**","","-37.00","0.00","NZD","0.00","2023","202304","PPR","1594793 ITR","","10/10/2022","10/10/2022","ACE.006924310.0000007","2023.PPR.1594793","","0.00","","CG Invoices to be received account"
"","2023 PPR  1596187","2023 PPR  1596187","","15/11/2022","**","","-83.50","0.00","NZD","0.00","2023","202304","PPR","1596187 ITR","","13/10/2022","13/10/2022","ACE.006925495.0000009","2023.PPR.1596187","","0.00","","CG Invoices to be received account"
"","2023 PPR  1610573","2023 PPR  1610573","","15/12/2022","**","","-135.00","0.00","NZD","0.00","2023","202305","PPR","1610573 ITR","","22/11/2022","22/11/2022","ACE.006931885.0000009","2023.PPR.1610573","","0.00","","CG Invoices to be received account"
"","2023 PPR  1613439","2023 PPR  1613439","","15/12/2022","**","","-135.00","0.00","NZD","0.00","2023","202305","PPR","1613439 ITR","","30/11/2022","30/11/2022","ACE.006933460.0000011","2023.PPR.1613439","","0.00","","CG Invoices to be received account"
"","2023 PPR  1615424","2023 PPR  1615424","","15/01/2023","**","","-288.00","0.00","NZD","0.00","2023","202306","PPR","1615424 ITR","","08/12/2022","08/12/2022","ACE.006933460.0000023","2023.PPR.1615424","","0.00","","CG Invoices to be received account"
