sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2021 PPR  1326368","2021 PPR  1326368","","02/11/2020","**","","-130.00","0.00","NZD","0.00","2021","202105","PPR","1326368 ITR","","02/11/2020","02/11/2020","ACE.006764479.0000003","2021.PPR.1326368","","0.00","","CG Invoices to be received account"
"","2021 PPR  1333629","2021 PPR  1333629","","16/11/2020","**","","-130.00","0.00","NZD","0.00","2021","202105","PPR","1333629 ITR","","16/11/2020","16/11/2020","ACE.006764479.0000021","2021.PPR.1333629","","0.00","","CG Invoices to be received account"
"","2021 PPR  1342609","2021 PPR  1342609","","03/12/2020","**","","-203.50","0.00","NZD","0.00","2021","202106","PPR","1342609 ITR","","03/12/2020","03/12/2020","ACE.006774190.0000004","2021.PPR.1342609","","0.00","","CG Invoices to be received account"
"","2021 PPR  1342620","2021 PPR  1342620","","03/12/2020","**","","-203.50","0.00","NZD","0.00","2021","202106","PPR","1342620 ITR","","03/12/2020","03/12/2020","ACE.006774196.0000005","2021.PPR.1342620","","0.00","","CG Invoices to be received account"
"","2021 PPR  1368792","2021 PPR  1368792","","17/02/2021","**","","-112.50","0.00","NZD","0.00","2021","202108","PPR","1368792 ITR","","17/02/2021","17/02/2021","ACE.006789510.0000003","2021.PPR.1368792","","0.00","","CG Invoices to be received account"
"","2021 PPR  1371870","2021 PPR  1371870","","24/02/2021","**","","-130.00","0.00","NZD","0.00","2021","202108","PPR","1371870 ITR","","24/02/2021","24/02/2021","ACE.006787725.0000012","2021.PPR.1371870","","0.00","","CG Invoices to be received account"
"","2021 PPR  1374895","2021 PPR  1374895","","02/03/2021","**","","-112.50","0.00","NZD","0.00","2021","202109","PPR","1374895 ITR","","02/03/2021","02/03/2021","ACE.006789510.0000008","2021.PPR.1374895","","0.00","","CG Invoices to be received account"
"","2021 PPR  1396639","2021 PPR  1396639","","16/04/2021","**","","-130.00","0.00","NZD","0.00","2021","202110","PPR","1396639 ITR","","16/04/2021","16/04/2021","ACE.006807456.0000064","2021.PPR.1396639","","0.00","","CG Invoices to be received account"
"","2022 PPR  1495145","2022 PPR  1495145","","20/01/2022","**","","-112.50","0.00","NZD","0.00","2022","202207","PPR","1495145 ITR","","20/01/2022","20/01/2022","ACE.006866566.0000003","2022.PPR.1495145","","0.00","","CG Invoices to be received account"
"","2022 PPR  1495152","2022 PPR  1495152","","20/01/2022","**","","-112.50","0.00","NZD","0.00","2022","202207","PPR","1495152 ITR","","20/01/2022","20/01/2022","ACE.006866573.0000003","2022.PPR.1495152","","0.00","","CG Invoices to be received account"
