sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2021 PPR  1309932","2021 PPR  1309932","","29/09/2020","**","","-188.00","0.00","NZD","0.00","2021","202103","PPR","1309932 ITR","","29/09/2020","29/09/2020","ACE.006754546.0000003","2021.PPR.1309932","","0.00","","CG Invoices to be received account"
"","2021 PPR  1309933","2021 PPR  1309933","","29/09/2020","**","","-99.00","0.00","NZD","0.00","2021","202103","PPR","1309933 ITR","","29/09/2020","29/09/2020","ACE.006754546.0000005","2021.PPR.1309933","","0.00","","CG Invoices to be received account"
"","2021 PPR  1310511","2021 PPR  1310511","","30/09/2020","**","","-356.00","0.00","NZD","0.00","2021","202103","PPR","1310511 ITR","","30/09/2020","30/09/2020","ACE.006754848.0000003","2021.PPR.1310511","","0.00","","CG Invoices to be received account"
"","2021 PPR  1320350","2021 PPR  1320350","","21/10/2020","**","","-198.00","0.00","NZD","0.00","2021","202104","PPR","1320350 ITR","","21/10/2020","21/10/2020","ACE.006761018.0000006","2021.PPR.1320350","","0.00","","CG Invoices to be received account"
"","2021 PPR  1380043","2021 PPR  1380043","","12/03/2021","**","","-114.00","0.00","NZD","0.00","2021","202109","PPR","1380043 ITR","","12/03/2021","12/03/2021","ACE.006796931.0000003","2021.PPR.1380043","","0.00","","CG Invoices to be received account"
"","2021 PPR  1381500","2021 PPR  1381500","","16/03/2021","**","","-238.00","0.00","NZD","0.00","2021","202109","PPR","1381500 ITR","","16/03/2021","16/03/2021","ACE.006797550.0000029","2021.PPR.1381500","","0.00","","CG Invoices to be received account"
"","2021 PPR  1381501","2021 PPR  1381501","","16/03/2021","**","","-238.00","0.00","NZD","0.00","2021","202109","PPR","1381501 ITR","","16/03/2021","16/03/2021","ACE.006797550.0000031","2021.PPR.1381501","","0.00","","CG Invoices to be received account"
"","2021 PPR  1398767","2021 PPR  1398767","","21/04/2021","**","","-89.00","0.00","NZD","0.00","2021","202110","PPR","1398767 ITR","","21/04/2021","21/04/2021","ACE.006809695.0000003","2021.PPR.1398767","","0.00","","CG Invoices to be received account"
"","2021 PPR  1398768","2021 PPR  1398768","","21/04/2021","**","","-89.00","0.00","NZD","0.00","2021","202110","PPR","1398768 ITR","","21/04/2021","21/04/2021","ACE.006809695.0000005","2021.PPR.1398768","","0.00","","CG Invoices to be received account"
"","2021 PPR  1398769","2021 PPR  1398769","","21/04/2021","**","","-89.00","0.00","NZD","0.00","2021","202110","PPR","1398769 ITR","","21/04/2021","21/04/2021","ACE.006809695.0000008","2021.PPR.1398769","","0.00","","CG Invoices to be received account"
"","2021 PPR  1398770","2021 PPR  1398770","","21/04/2021","**","","-89.00","0.00","NZD","0.00","2021","202110","PPR","1398770 ITR","","21/04/2021","21/04/2021","ACE.006809695.0000010","2021.PPR.1398770","","0.00","","CG Invoices to be received account"
"","2021 PPR  1398771","2021 PPR  1398771","","21/04/2021","**","","-89.00","0.00","NZD","0.00","2021","202110","PPR","1398771 ITR","","21/04/2021","21/04/2021","ACE.006809695.0000013","2021.PPR.1398771","","0.00","","CG Invoices to be received account"
"","2021 PPR  1398772","2021 PPR  1398772","","21/04/2021","**","","-89.00","0.00","NZD","0.00","2021","202110","PPR","1398772 ITR","","21/04/2021","21/04/2021","ACE.006809695.0000015","2021.PPR.1398772","","0.00","","CG Invoices to be received account"
"","2021 PPR  1434057","2021 PPR  1434057","","25/06/2021","**","","-119.00","0.00","NZD","0.00","2021","202112","PPR","1434057 ITR","","25/06/2021","25/06/2021","ACE.006833153.0000005","2021.PPR.1434057","","0.00","","CG Invoices to be received account"
"","2021 PPR  1434059","2021 PPR  1434059","","25/06/2021","**","","-25.00","0.00","NZD","0.00","2021","202112","PPR","1434059 ITR","","25/06/2021","25/06/2021","ACE.006833153.0000007","2021.PPR.1434059","","0.00","","CG Invoices to be received account"
"","2021 PPR  1434077","2021 PPR  1434077","","25/06/2021","**","","-218.00","0.00","NZD","0.00","2021","202112","PPR","1434077 ITR","","25/06/2021","25/06/2021","ACE.006833174.0000003","2021.PPR.1434077","","0.00","","CG Invoices to be received account"
"","2021 PPR  1434145","2021 PPR  1434145","","25/06/2021","**","","-109.00","0.00","NZD","0.00","2021","202112","PPR","1434145 ITR","","25/06/2021","25/06/2021","ACE.006833225.0000005","2021.PPR.1434145","","0.00","","CG Invoices to be received account"
