sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2019 PUR   206155","2019 PUR   206155","","24/01/2019","**","","277.53","0.00","NZD","0.00","2019","201907","PUR","206155 VPA","","24/01/2019","24/01/2019","ACE.006522621.0000008","2019.PUR.0206155","","0.00","","CG Invoices to be received account"
"","2019 PUR   206155","2019 PUR   206155","","24/01/2019","**","","384.64","0.00","NZD","0.00","2019","201907","PUR","206155 VPA","","24/01/2019","24/01/2019","ACE.006522760.0000007","2019.PUR.0206155","","0.00","","CG Invoices to be received account"
"","2019 PUR   206155","2019 PUR   206155","","24/01/2019","**","","-384.64","0.00","NZD","0.00","2019","201907","PUR","206155 VPA","","24/01/2019","24/01/2019","ACE.006522760.0000014","2019.PUR.0206155","","0.00","","CG Invoices to be received account"
"","2019 PUR   206619","2019 PUR   206619","","28/01/2019","**","","-277.53","0.00","NZD","0.00","2019","201907","PUR","206619 VPA","","28/01/2019","28/01/2019","ACE.006522621.0000022","2019.PUR.0206619","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","1,005.51","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528532.0000005","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","1,005.51","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528532.0000014","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","-1,005.51","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528532.0000030","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","-1,005.51","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528532.0000032","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","144.65","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528749.0000005","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","94.15","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528749.0000007","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","-144.65","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528749.0000012","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   208548","2019 PUR   208548","","07/02/2019","**","","-94.15","0.00","NZD","0.00","2019","201908","PUR","208548 VPA","","07/02/2019","07/02/2019","ACE.006528749.0000013","2019.PUR.0208548","","0.00","","CG Invoices to be received account"
"","2019 PUR   209271","2019 PUR   209271","","12/02/2019","**","","1,027.08","0.00","NZD","0.00","2019","201908","PUR","209271 VPA","","12/02/2019","12/02/2019","ACE.006531451.0000004","2019.PUR.0209271","","0.00","","CG Invoices to be received account"
"","2019 PUR   209271","2019 PUR   209271","","12/02/2019","**","","1,027.08","0.00","NZD","0.00","2019","201908","PUR","209271 VPA","","12/02/2019","12/02/2019","ACE.006531453.0000004","2019.PUR.0209271","","0.00","","CG Invoices to be received account"
"","2019 PUR   209513","2019 PUR   209513","","13/02/2019","**","","273.88","0.00","NZD","0.00","2019","201908","PUR","209513 VPA","","13/02/2019","13/02/2019","ACE.006531168.0000014","2019.PUR.0209513","","0.00","","CG Invoices to be received account"
"","2019 PUR   210462","2019 PUR   210462","","18/02/2019","**","","-273.88","0.00","NZD","0.00","2019","201908","PUR","210462 VPA","","18/02/2019","18/02/2019","ACE.006531168.0000020","2019.PUR.0210462","","0.00","","CG Invoices to be received account"
"","2019 PUR   210462","2019 PUR   210462","","18/02/2019","**","","-1,027.08","0.00","NZD","0.00","2019","201908","PUR","210462 VPA","","18/02/2019","18/02/2019","ACE.006531451.0000016","2019.PUR.0210462","","0.00","","CG Invoices to be received account"
"","2019 PUR   210462","2019 PUR   210462","","18/02/2019","**","","-1,027.08","0.00","NZD","0.00","2019","201908","PUR","210462 VPA","","18/02/2019","18/02/2019","ACE.006531453.0000023","2019.PUR.0210462","","0.00","","CG Invoices to be received account"
"","2019 PUR   212102","2019 PUR   212102","","25/02/2019","**","","1,386.40","0.00","NZD","0.00","2019","201908","PUR","212102 VPA","","25/02/2019","25/02/2019","ACE.006538570.0000004","2019.PUR.0212102","","0.00","","CG Invoices to be received account"
"","2019 PUR   212102","2019 PUR   212102","","25/02/2019","**","","4,010.48","0.00","NZD","0.00","2019","201908","PUR","212102 VPA","","25/02/2019","25/02/2019","ACE.006538570.0000006","2019.PUR.0212102","","0.00","","CG Invoices to be received account"
"","2019 PUR   214339","2019 PUR   214339","","05/03/2019","**","","-1,386.40","0.00","NZD","0.00","2019","201909","PUR","214339 VPA","","05/03/2019","05/03/2019","ACE.006538570.0000019","2019.PUR.0214339","","0.00","","CG Invoices to be received account"
