sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2019 PPR   904625","2019 PPR   904625","","15/02/2019","**","","-180.22","0.00","NZD","0.00","2019","201907","PPR","904625 ITR","","14/01/2019","14/01/2019","ACE.006517995.0000003","2019.PPR.0904625","","0.00","","CG Invoices to be received account"
"","2019 PPR   904626","2019 PPR   904626","","15/02/2019","**","","-180.22","0.00","NZD","0.00","2019","201907","PPR","904626 ITR","","14/01/2019","14/01/2019","ACE.006517995.0000006","2019.PPR.0904626","","0.00","","CG Invoices to be received account"
"","2019 PPR   977479","2019 PPR   977479","","15/05/2019","**","","-191.42","0.00","USD","-125.82","2019","201910","PPR","977479 ITR","","09/04/2019","09/04/2019","ACE.006564007.0000016","2019.PPR.0977479","","0.00","","CG Invoices to be received account"
"","2019 PPR   977481","2019 PPR   977481","","15/05/2019","**","","-191.42","0.00","USD","-125.82","2019","201910","PPR","977481 ITR","","09/04/2019","09/04/2019","ACE.006564007.0000018","2019.PPR.0977481","","0.00","","CG Invoices to be received account"
"","2019 PPR   977482","2019 PPR   977482","","15/05/2019","**","","-191.42","0.00","USD","-125.82","2019","201910","PPR","977482 ITR","","09/04/2019","09/04/2019","ACE.006564007.0000020","2019.PPR.0977482","","0.00","","CG Invoices to be received account"
"","2019 PPR   977484","2019 PPR   977484","","15/05/2019","**","","-191.42","0.00","USD","-125.82","2019","201910","PPR","977484 ITR","","09/04/2019","09/04/2019","ACE.006564007.0000022","2019.PPR.0977484","","0.00","","CG Invoices to be received account"
"","2019 PPR   977485","2019 PPR   977485","","15/05/2019","**","","-191.42","0.00","USD","-125.82","2019","201910","PPR","977485 ITR","","09/04/2019","09/04/2019","ACE.006564007.0000024","2019.PPR.0977485","","0.00","","CG Invoices to be received account"
"","2019 PPR   977487","2019 PPR   977487","","15/05/2019","**","","-191.42","0.00","USD","-125.82","2019","201910","PPR","977487 ITR","","09/04/2019","09/04/2019","ACE.006564007.0000026","2019.PPR.0977487","","0.00","","CG Invoices to be received account"
"","2019 PPR   977488","2019 PPR   977488","","15/05/2019","**","","-191.42","0.00","USD","-125.82","2019","201910","PPR","977488 ITR","","09/04/2019","09/04/2019","ACE.006564007.0000028","2019.PPR.0977488","","0.00","","CG Invoices to be received account"
"","2019 PPR   981068","2019 PPR   981068","","15/05/2019","**","","-192.39","0.00","USD","-125.99","2019","201910","PPR","981068 ITR","","12/04/2019","12/04/2019","ACE.006563814.0000019","2019.PPR.0981068","","0.00","","CG Invoices to be received account"
