sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2021 PPR  1327495","2021 PPR  1327495","","15/12/2020","**","","-246.77","0.00","NZD","0.00","2021","202105","PPR","1327495 ITR","","04/11/2020","04/11/2020","ACE.006765217.0000003","2021.PPR.1327495","","0.00","","CG Invoices to be received account"
"","2021 PPR  1328570","2021 PPR  1328570","","15/12/2020","**","","-239.00","0.00","NZD","0.00","2021","202105","PPR","1328570 ITR","","05/11/2020","05/11/2020","ACE.006765217.0000015","2021.PPR.1328570","","0.00","","CG Invoices to be received account"
"","2021 PPR  1333744","2021 PPR  1333744","","15/12/2020","**","","-219.00","0.00","NZD","0.00","2021","202105","PPR","1333744 ITR","","16/11/2020","16/11/2020","ACE.006768971.0000003","2021.PPR.1333744","","0.00","","CG Invoices to be received account"
"","2021 PPR  1333937","2021 PPR  1333937","","15/12/2020","**","","-219.00","0.00","NZD","0.00","2021","202105","PPR","1333937 ITR","","16/11/2020","16/11/2020","ACE.006768971.0000016","2021.PPR.1333937","","0.00","","CG Invoices to be received account"
"","2021 PPR  1353475","2021 PPR  1353475","","15/02/2021","**","","-615.37","0.00","NZD","0.00","2021","202107","PPR","1353475 ITR","","13/01/2021","13/01/2021","ACE.006779403.0000003","2021.PPR.1353475","","0.00","","CG Invoices to be received account"
"","2021 PPR  1353476","2021 PPR  1353476","","15/02/2021","**","","-615.37","0.00","NZD","0.00","2021","202107","PPR","1353476 ITR","","13/01/2021","13/01/2021","ACE.006779403.0000008","2021.PPR.1353476","","0.00","","CG Invoices to be received account"
"","2021 PPR  1368182","2021 PPR  1368182","","15/03/2021","**","","-269.00","0.00","NZD","0.00","2021","202108","PPR","1368182 ITR","","16/02/2021","16/02/2021","ACE.006789112.0000003","2021.PPR.1368182","","0.00","","CG Invoices to be received account"
"","2021 PPR  1368799","2021 PPR  1368799","","15/03/2021","**","","-277.74","0.00","NZD","0.00","2021","202108","PPR","1368799 ITR","","17/02/2021","17/02/2021","ACE.006789521.0000003","2021.PPR.1368799","","0.00","","CG Invoices to be received account"
"","2021 PPR  1380913","2021 PPR  1380913","","15/04/2021","**","","-100.10","0.00","NZD","0.00","2021","202109","PPR","1380913 ITR","","15/03/2021","15/03/2021","ACE.006797380.0000013","2021.PPR.1380913","","0.00","","CG Invoices to be received account"
"","2021 PPR  1380914","2021 PPR  1380914","","15/04/2021","**","","-200.30","0.00","NZD","0.00","2021","202109","PPR","1380914 ITR","","15/03/2021","15/03/2021","ACE.006797380.0000015","2021.PPR.1380914","","0.00","","CG Invoices to be received account"
"","2021 PPR  1380915","2021 PPR  1380915","","15/04/2021","**","","-100.10","0.00","NZD","0.00","2021","202109","PPR","1380915 ITR","","15/03/2021","15/03/2021","ACE.006797380.0000018","2021.PPR.1380915","","0.00","","CG Invoices to be received account"
"","2021 PPR  1380916","2021 PPR  1380916","","15/04/2021","**","","-200.30","0.00","NZD","0.00","2021","202109","PPR","1380916 ITR","","15/03/2021","15/03/2021","ACE.006797380.0000020","2021.PPR.1380916","","0.00","","CG Invoices to be received account"
"","2021 PPR  1385048","2021 PPR  1385048","","15/04/2021","**","","-174.49","0.00","NZD","0.00","2021","202109","PPR","1385048 ITR","","23/03/2021","23/03/2021","ACE.006800367.0000003","2021.PPR.1385048","","0.00","","CG Invoices to be received account"
"","2021 PPR  1386321","2021 PPR  1386321","","15/04/2021","**","","-277.74","0.00","NZD","0.00","2021","202109","PPR","1386321 ITR","","25/03/2021","25/03/2021","ACE.006799809.0000019","2021.PPR.1386321","","0.00","","CG Invoices to be received account"
"","2021 PPR  1386425","2021 PPR  1386425","","15/04/2021","**","","-153.84","0.00","NZD","0.00","2021","202109","PPR","1386425 ITR","","25/03/2021","25/03/2021","ACE.006801403.0000003","2021.PPR.1386425","","0.00","","CG Invoices to be received account"
"","2021 PPR  1387965","2021 PPR  1387965","","15/04/2021","**","","-236.44","0.00","NZD","0.00","2021","202109","PPR","1387965 ITR","","29/03/2021","29/03/2021","ACE.006802285.0000003","2021.PPR.1387965","","0.00","","CG Invoices to be received account"
"","2021 PPR  1388498","2021 PPR  1388498","","15/04/2021","**","","-236.44","0.00","NZD","0.00","2021","202109","PPR","1388498 ITR","","30/03/2021","30/03/2021","ACE.006802778.0000003","2021.PPR.1388498","","0.00","","CG Invoices to be received account"
"","2021 PPR  1388550","2021 PPR  1388550","","15/04/2021","**","","-164.17","0.00","NZD","0.00","2021","202109","PPR","1388550 ITR","","30/03/2021","30/03/2021","ACE.006802856.0000003","2021.PPR.1388550","","0.00","","CG Invoices to be received account"
"","2021 PPR  1390794","2021 PPR  1390794","","15/05/2021","**","","-359.31","0.00","NZD","0.00","2021","202110","PPR","1390794 ITR","","06/04/2021","06/04/2021","ACE.006782197.0000003","2021.PPR.1390794","","0.00","","CG Invoices to be received account"
"","2021 PPR  1401569","2021 PPR  1401569","","15/05/2021","**","","-164.17","0.00","NZD","0.00","2021","202110","PPR","1401569 ITR","","27/04/2021","27/04/2021","ACE.006811521.0000003","2021.PPR.1401569","","0.00","","CG Invoices to be received account"
"","2021 PPR  1402919","2021 PPR  1402919","","15/05/2021","**","","-174.49","0.00","NZD","0.00","2021","202110","PPR","1402919 ITR","","29/04/2021","29/04/2021","ACE.006812527.0000021","2021.PPR.1402919","","0.00","","CG Invoices to be received account"
"","2021 PPR  1405549","2021 PPR  1405549","","15/06/2021","**","","-269.00","0.00","NZD","0.00","2021","202111","PPR","1405549 ITR","","04/05/2021","04/05/2021","ACE.006814521.0000003","2021.PPR.1405549","","0.00","","CG Invoices to be received account"
"","2021 PPR  1405550","2021 PPR  1405550","","15/06/2021","**","","-269.00","0.00","NZD","0.00","2021","202111","PPR","1405550 ITR","","04/05/2021","04/05/2021","ACE.006814521.0000005","2021.PPR.1405550","","0.00","","CG Invoices to be received account"
"","2021 PPR  1406317","2021 PPR  1406317","","15/06/2021","**","","-277.74","0.00","NZD","0.00","2021","202111","PPR","1406317 ITR","","05/05/2021","05/05/2021","ACE.006810637.0000027","2021.PPR.1406317","","0.00","","CG Invoices to be received account"
