sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2021 PPR  1309889","2021 PPR  1309889","","29/09/2020","**","","-422.00","0.00","NZD","0.00","2021","202103","PPR","1309889 ITR","","29/09/2020","29/09/2020","ACE.006754475.0000002","2021.PPR.1309889","","0.00","","CG Invoices to be received account"
"","2021 PPR  1309890","2021 PPR  1309890","","29/09/2020","**","","-422.00","0.00","NZD","0.00","2021","202103","PPR","1309890 ITR","","29/09/2020","29/09/2020","ACE.006754475.0000003","2021.PPR.1309890","","0.00","","CG Invoices to be received account"
"","2021 PPR  1309891","2021 PPR  1309891","","29/09/2020","**","","-805.76","0.00","NZD","0.00","2021","202103","PPR","1309891 ITR","","29/09/2020","29/09/2020","ACE.006754475.0000005","2021.PPR.1309891","","0.00","","CG Invoices to be received account"
"","2021 PPR  1311799","2021 PPR  1311799","","02/10/2020","**","","-205.00","0.00","NZD","0.00","2021","202104","PPR","1311799 ITR","","02/10/2020","02/10/2020","ACE.006755598.0000002","2021.PPR.1311799","","0.00","","CG Invoices to be received account"
"","2021 PPR  1313032","2021 PPR  1313032","","06/10/2020","**","","-19.00","0.00","NZD","0.00","2021","202104","PPR","1313032 ITR","","06/10/2020","06/10/2020","ACE.006756423.0000008","2021.PPR.1313032","","0.00","","CG Invoices to be received account"
"","2021 PPR  1343255","2021 PPR  1343255","","04/12/2020","**","","-20.00","0.00","NZD","0.00","2021","202106","PPR","1343255 ITR","","04/12/2020","04/12/2020","ACE.006772360.0000007","2021.PPR.1343255","","0.00","","CG Invoices to be received account"
"","2021 PPR  1347446","2021 PPR  1347446","","14/12/2020","**","","-19.00","0.00","NZD","0.00","2021","202106","PPR","1347446 ITR","","14/12/2020","14/12/2020","ACE.006776439.0000004","2021.PPR.1347446","","0.00","","CG Invoices to be received account"
"","2021 PPR  1384362","2021 PPR  1384362","","22/03/2021","**","","-337.00","0.00","NZD","0.00","2021","202109","PPR","1384362 ITR","","22/03/2021","22/03/2021","ACE.006799866.0000002","2021.PPR.1384362","","0.00","","CG Invoices to be received account"
"","2021 PPR  1386926","2021 PPR  1386926","","26/03/2021","**","","-20.00","0.00","NZD","0.00","2021","202109","PPR","1386926 ITR","","26/03/2021","26/03/2021","ACE.006801573.0000004","2021.PPR.1386926","","0.00","","CG Invoices to be received account"
"","2021 PPR  1387800","2021 PPR  1387800","","29/03/2021","**","","-19.50","0.00","NZD","0.00","2021","202109","PPR","1387800 ITR","","29/03/2021","29/03/2021","ACE.006802042.0000002","2021.PPR.1387800","","0.00","","CG Invoices to be received account"
"","2021 PPR  1387812","2021 PPR  1387812","","29/03/2021","**","","-314.25","0.00","NZD","0.00","2021","202109","PPR","1387812 ITR","","29/03/2021","29/03/2021","ACE.006802055.0000002","2021.PPR.1387812","","0.00","","CG Invoices to be received account"
"","2021 PPR  1394566","2021 PPR  1394566","","13/04/2021","**","","-365.50","0.00","NZD","0.00","2021","202110","PPR","1394566 ITR","","13/04/2021","13/04/2021","ACE.006806749.0000002","2021.PPR.1394566","","0.00","","CG Invoices to be received account"
"","2021 PPR  1394625","2021 PPR  1394625","","13/04/2021","**","","-131.00","0.00","NZD","0.00","2021","202110","PPR","1394625 ITR","","13/04/2021","13/04/2021","ACE.006805896.0000017","2021.PPR.1394625","","0.00","","CG Invoices to be received account"
