sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2021 PPR  1277290","2021 PPR  1277290","","06/07/2020","**","","-65.00","0.00","NZD","0.00","2021","202101","PPR","1277290 ITR","","06/07/2020","06/07/2020","ACE.006735313.0000002","2021.PPR.1277290","","0.00","","CG Invoices to be received account"
"","2021 PPR  1302537","2021 PPR  1302537","","09/09/2020","**","","-110.00","0.00","NZD","0.00","2021","202103","PPR","1302537 ITR","","09/09/2020","09/09/2020","ACE.006750135.0000002","2021.PPR.1302537","","0.00","","CG Invoices to be received account"
"","2021 PPR  1319694","2021 PPR  1319694","","20/10/2020","**","","-89.60","0.00","NZD","0.00","2021","202104","PPR","1319694 ITR","","20/10/2020","20/10/2020","ACE.006760563.0000002","2021.PPR.1319694","","0.00","","CG Invoices to be received account"
"","2022 PPR  1454691","2022 PPR  1454691","","06/08/2021","**","","-65.00","0.00","NZD","0.00","2022","202202","PPR","1454691 ITR","","06/08/2021","06/08/2021","ACE.006846596.0000002","2022.PPR.1454691","","0.00","","CG Invoices to be received account"
"","2022 PPR  1493160","2022 PPR  1493160","","14/01/2022","**","","-80.00","0.00","NZD","0.00","2022","202207","PPR","1493160 ITR","","14/01/2022","14/01/2022","ACE.006865019.0000002","2022.PPR.1493160","","0.00","","CG Invoices to be received account"
"","2022 PPR  1493162","2022 PPR  1493162","","14/01/2022","**","","-80.00","0.00","NZD","0.00","2022","202207","PPR","1493162 ITR","","14/01/2022","14/01/2022","ACE.006865020.0000002","2022.PPR.1493162","","0.00","","CG Invoices to be received account"
"","2022 PPR  1498354","2022 PPR  1498354","","01/02/2022","**","","-175.00","0.00","NZD","0.00","2022","202208","PPR","1498354 ITR","","01/02/2022","01/02/2022","ACE.006860997.0000026","2022.PPR.1498354","","0.00","","CG Invoices to be received account"
"","2022 PPR  1500377","2022 PPR  1500377","","14/02/2022","**","","-80.00","0.00","NZD","0.00","2022","202208","PPR","1500377 ITR","","14/02/2022","14/02/2022","ACE.006868975.0000002","2022.PPR.1500377","","0.00","","CG Invoices to be received account"
"","2022 PPR  1504454","2022 PPR  1504454","","04/03/2022","**","","-80.00","0.00","NZD","0.00","2022","202209","PPR","1504454 ITR","","04/03/2022","04/03/2022","ACE.006869176.0000009","2022.PPR.1504454","","0.00","","CG Invoices to be received account"
"","2022 PPR  1535487","2022 PPR  1535487","","01/06/2022","**","","-100.00","0.00","NZD","0.00","2022","202212","PPR","1535487 ITR","","01/06/2022","01/06/2022","ACE.006891339.0000002","2022.PPR.1535487","","0.00","","CG Invoices to be received account"
