sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2020 PPR  1184237","2020 PPR  1184237","","27/11/2019","**","","-251.04","0.00","AUD","-230.00","2020","202005","PPR","1184237 ITR","","27/11/2019","27/11/2019","ACE.006676810.0000019","2020.PPR.1184237","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190538","2020 PPR  1190538","","05/12/2019","**","","-91.01","0.00","NZD","0.00","2020","202006","PPR","1190538 ITR","","05/12/2019","05/12/2019","ACE.006676810.0000027","2020.PPR.1190538","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190539","2020 PPR  1190539","","05/12/2019","**","","-91.01","0.00","NZD","0.00","2020","202006","PPR","1190539 ITR","","05/12/2019","05/12/2019","ACE.006676810.0000028","2020.PPR.1190539","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190540","2020 PPR  1190540","","05/12/2019","**","","-32.12","0.00","NZD","0.00","2020","202006","PPR","1190540 ITR","","05/12/2019","05/12/2019","ACE.006676810.0000029","2020.PPR.1190540","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190541","2020 PPR  1190541","","05/12/2019","**","","-32.12","0.00","NZD","0.00","2020","202006","PPR","1190541 ITR","","05/12/2019","05/12/2019","ACE.006676810.0000030","2020.PPR.1190541","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190545","2020 PPR  1190545","","05/12/2019","**","","251.04","0.00","AUD","230.00","2020","202006","PPR","1190545 ITR","","05/12/2019","05/12/2019","ACE.006676810.0000031","2020.PPR.1190545","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190549","2020 PPR  1190549","","05/12/2019","**","","-91.01","0.00","NZD","0.00","2020","202006","PPR","1190549 ITR","","05/12/2019","05/12/2019","ACE.006676807.0000028","2020.PPR.1190549","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190550","2020 PPR  1190550","","05/12/2019","**","","-91.01","0.00","NZD","0.00","2020","202006","PPR","1190550 ITR","","05/12/2019","05/12/2019","ACE.006676807.0000029","2020.PPR.1190550","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190551","2020 PPR  1190551","","05/12/2019","**","","-32.12","0.00","NZD","0.00","2020","202006","PPR","1190551 ITR","","05/12/2019","05/12/2019","ACE.006676807.0000030","2020.PPR.1190551","","0.00","","CG Invoices to be received account"
"","2020 PPR  1190552","2020 PPR  1190552","","05/12/2019","**","","-32.12","0.00","NZD","0.00","2020","202006","PPR","1190552 ITR","","05/12/2019","05/12/2019","ACE.006676807.0000031","2020.PPR.1190552","","0.00","","CG Invoices to be received account"
"","2020 PPR  1191737","2020 PPR  1191737","","06/12/2019","**","","-248.78","0.00","AUD","-230.00","2020","202006","PPR","1191737 ITR","","06/12/2019","06/12/2019","ACE.006676810.0000036","2020.PPR.1191737","","0.00","","CG Invoices to be received account"
"","2020 PPR  1203728","2020 PPR  1203728","","07/01/2020","**","","-84.27","0.00","NZD","0.00","2020","202007","PPR","1203728 ITR","","07/01/2020","07/01/2020","ACE.006686194.0000010","2020.PPR.1203728","","0.00","","CG Invoices to be received account"
"","2020 PPR  1204355","2020 PPR  1204355","","08/01/2020","**","","-305.00","0.00","NZD","0.00","2020","202007","PPR","1204355 ITR","","08/01/2020","08/01/2020","ACE.006686547.0000029","2020.PPR.1204355","","0.00","","CG Invoices to be received account"
"","2020 PPR  1204356","2020 PPR  1204356","","08/01/2020","**","","-305.00","0.00","NZD","0.00","2020","202007","PPR","1204356 ITR","","08/01/2020","08/01/2020","ACE.006686547.0000031","2020.PPR.1204356","","0.00","","CG Invoices to be received account"
"","2021 PPR  1345509","2021 PPR  1345509","","09/12/2020","**","","-55.00","0.00","NZD","0.00","2021","202106","PPR","1345509 ITR","","09/12/2020","09/12/2020","ACE.006766449.0000025","2021.PPR.1345509","","0.00","","CG Invoices to be received account"
"","2021 PPR  1413273","2021 PPR  1413273","","18/05/2021","**","","-55.00","0.00","NZD","0.00","2021","202111","PPR","1413273 ITR","","18/05/2021","18/05/2021","ACE.006813164.0000031","2021.PPR.1413273","","0.00","","CG Invoices to be received account"
"","2022 PPR  1511071","2022 PPR  1511071","","04/04/2022","**","","-589.03","0.00","NZD","0.00","2022","202210","PPR","1511071 ITR","","04/04/2022","04/04/2022","ACE.006875002.0000032","2022.PPR.1511071","","0.00","","CG Invoices to be received account"
"","2022 PPR  1514762","2022 PPR  1514762","","14/04/2022","**","","-589.03","0.00","NZD","0.00","2022","202210","PPR","1514762 ITR","","14/04/2022","14/04/2022","ACE.006877640.0000020","2022.PPR.1514762","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551430","2023 PPR  1551430","","01/07/2022","**","","-235.00","0.00","NZD","0.00","2023","202301","PPR","1551430 ITR","","01/07/2022","01/07/2022","ACE.006882183.0000024","2023.PPR.1551430","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551431","2023 PPR  1551431","","01/07/2022","**","","-235.00","0.00","NZD","0.00","2023","202301","PPR","1551431 ITR","","01/07/2022","01/07/2022","ACE.006882183.0000026","2023.PPR.1551431","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551436","2023 PPR  1551436","","01/07/2022","**","","-470.00","0.00","NZD","0.00","2023","202301","PPR","1551436 ITR","","01/07/2022","01/07/2022","ACE.006892448.0000055","2023.PPR.1551436","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551439","2023 PPR  1551439","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551439 ITR","","01/07/2022","01/07/2022","ACE.006898752.0000018","2023.PPR.1551439","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551445","2023 PPR  1551445","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551445 ITR","","01/07/2022","01/07/2022","ACE.006898752.0000020","2023.PPR.1551445","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551451","2023 PPR  1551451","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551451 ITR","","01/07/2022","01/07/2022","ACE.006898751.0000024","2023.PPR.1551451","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551452","2023 PPR  1551452","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551452 ITR","","01/07/2022","01/07/2022","ACE.006898751.0000026","2023.PPR.1551452","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551462","2023 PPR  1551462","","01/07/2022","**","","-112.32","0.00","NZD","0.00","2023","202301","PPR","1551462 ITR","","01/07/2022","01/07/2022","ACE.006895815.0000029","2023.PPR.1551462","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551463","2023 PPR  1551463","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551463 ITR","","01/07/2022","01/07/2022","ACE.006896825.0000014","2023.PPR.1551463","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551507","2023 PPR  1551507","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551507 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000066","2023.PPR.1551507","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551508","2023 PPR  1551508","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551508 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000068","2023.PPR.1551508","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551509","2023 PPR  1551509","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551509 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000054","2023.PPR.1551509","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551510","2023 PPR  1551510","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551510 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000056","2023.PPR.1551510","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551511","2023 PPR  1551511","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551511 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000058","2023.PPR.1551511","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551512","2023 PPR  1551512","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551512 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000060","2023.PPR.1551512","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551513","2023 PPR  1551513","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551513 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000062","2023.PPR.1551513","","0.00","","CG Invoices to be received account"
"","2023 PPR  1551514","2023 PPR  1551514","","01/07/2022","**","","-321.88","0.00","NZD","0.00","2023","202301","PPR","1551514 ITR","","01/07/2022","01/07/2022","ACE.006898744.0000064","2023.PPR.1551514","","0.00","","CG Invoices to be received account"
"","2023 PPR  1552039","2023 PPR  1552039","","04/07/2022","**","","-470.00","0.00","NZD","0.00","2023","202301","PPR","1552039 ITR","","04/07/2022","04/07/2022","ACE.006892369.0000060","2023.PPR.1552039","","0.00","","CG Invoices to be received account"
"","2023 PPR  1552042","2023 PPR  1552042","","04/07/2022","**","","-495.59","0.00","NZD","0.00","2023","202301","PPR","1552042 ITR","","04/07/2022","04/07/2022","ACE.006898411.0000014","2023.PPR.1552042","","0.00","","CG Invoices to be received account"
