sep=,
"#","Sort order","Sort order","Remarks","Due date","P","R","Amount local","Amount Euro","Curr.","Amount currency","Ledger year","Entry period","Journal code","Document Info","Text","Document date","Entry date","External reference","Internal reference","Unit code","Quantity","Free reference","Account type"
"","2019 PPR  1024167","2019 PPR  1024167","","15/07/2019","**","","-277.54","0.00","USD","-176.00","2019","201912","PPR","1024167 ITR","","05/06/2019","05/06/2019","ACE.006589703.0000021","2019.PPR.1024167","","0.00","","CG Invoices to be received account"
"","2019 PPR  1024182","2019 PPR  1024182","","15/07/2019","**","","-138.77","0.00","USD","-88.00","2019","201912","PPR","1024182 ITR","","05/06/2019","05/06/2019","ACE.006589703.0000023","2019.PPR.1024182","","0.00","","CG Invoices to be received account"
"","2019 PPR  1024183","2019 PPR  1024183","","15/07/2019","**","","-138.77","0.00","USD","-88.00","2019","201912","PPR","1024183 ITR","","05/06/2019","05/06/2019","ACE.006589703.0000024","2019.PPR.1024183","","0.00","","CG Invoices to be received account"
"","2020 PPR  1087304","2020 PPR  1087304","","15/09/2019","**","","-68.62","0.00","USD","-43.00","2020","202002","PPR","1087304 ITR","","15/08/2019","15/08/2019","ACE.006627952.0000007","2020.PPR.1087304","","0.00","","CG Invoices to be received account"
"","2020 PPR  1087561","2020 PPR  1087561","","15/09/2019","**","","-68.62","0.00","USD","-43.00","2020","202002","PPR","1087561 ITR","","15/08/2019","15/08/2019","ACE.006627952.0000011","2020.PPR.1087561","","0.00","","CG Invoices to be received account"
"","2020 PPR  1087638","2020 PPR  1087638","","15/09/2019","**","","-504.26","0.00","USD","-316.00","2020","202002","PPR","1087638 ITR","","15/08/2019","15/08/2019","ACE.006625523.0000089","2020.PPR.1087638","","0.00","","CG Invoices to be received account"
"","2020 PPR  1088521","2020 PPR  1088521","","15/09/2019","**","","-174.08","0.00","USD","-109.00","2020","202002","PPR","1088521 ITR","","16/08/2019","16/08/2019","ACE.006625523.0000111","2020.PPR.1088521","","0.00","","CG Invoices to be received account"
"","2020 PPR  1101161","2020 PPR  1101161","","15/09/2019","**","","-134.75","0.00","USD","-83.50","2020","202002","PPR","1101161 ITR","","29/08/2019","29/08/2019","ACE.006635064.0000025","2020.PPR.1101161","","0.00","","CG Invoices to be received account"
"","2020 PPR  1101165","2020 PPR  1101165","","15/09/2019","**","","-134.75","0.00","USD","-83.50","2020","202002","PPR","1101165 ITR","","29/08/2019","29/08/2019","ACE.006635049.0000032","2020.PPR.1101165","","0.00","","CG Invoices to be received account"
"","2020 PPR  1106062","2020 PPR  1106062","","15/10/2019","**","","-179.67","0.00","USD","-110.00","2020","202003","PPR","1106062 ITR","","04/09/2019","04/09/2019","ACE.006625523.0000153","2020.PPR.1106062","","0.00","","CG Invoices to be received account"
"","2020 PPR  1130332","2020 PPR  1130332","","15/10/2019","**","","-353.20","0.00","USD","-216.00","2020","202003","PPR","1130332 ITR","","30/09/2019","30/09/2019","ACE.006651482.0000024","2020.PPR.1130332","","0.00","","CG Invoices to be received account"
"","2020 PPR  1136363","2020 PPR  1136363","","15/11/2019","**","","-353.93","0.00","USD","-216.00","2020","202004","PPR","1136363 ITR","","07/10/2019","07/10/2019","ACE.006651482.0000031","2020.PPR.1136363","","0.00","","CG Invoices to be received account"
"","2020 PPR  1171950","2020 PPR  1171950","","15/12/2019","**","","504.26","0.00","USD","316.00","2020","202005","PPR","1171950 ITR","","14/11/2019","14/11/2019","ACE.006625523.0000190","2020.PPR.1171950","","0.00","","CG Invoices to be received account"
"","2020 PPR  1171969","2020 PPR  1171969","","15/12/2019","**","","68.62","0.00","USD","43.00","2020","202005","PPR","1171969 ITR","","14/11/2019","14/11/2019","ACE.006627952.0000014","2020.PPR.1171969","","0.00","","CG Invoices to be received account"
"","2020 PPR  1172007","2020 PPR  1172007","","15/12/2019","**","","174.08","0.00","USD","109.00","2020","202005","PPR","1172007 ITR","","14/11/2019","14/11/2019","ACE.006625523.0000194","2020.PPR.1172007","","0.00","","CG Invoices to be received account"
"","2020 PPR  1219547","2020 PPR  1219547","","15/02/2020","**","","353.20","0.00","USD","216.00","2020","202007","PPR","1219547 ITR","","30/01/2020","30/01/2020","ACE.006651482.0000085","2020.PPR.1219547","","0.00","","CG Invoices to be received account"
